xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,State_S2
-0.08325195,-0.1401367,-0.449707,-0.07565641,-0.031771,0.3200917,-0.3410831,0.2003053,0.001600459,-17.03567,10.02308,-0.623291,-0.4118652,0.7961426,0.3266413,-0.1188473,0.09139694,-0.4416616,0.6956737,0.0004569847,-22.16311,34.81288,Unknown
-0.08276367,-0.1325684,-0.4399414,0.0922823,-0.1539084,-0.0310533,-0.6627344,0.3981029,0.001103606,-16.49598,10.21087,-0.6345215,-0.4047852,0.7858887,0.0976336,-0.1951832,-0.07654199,-0.8680664,1.392097,-0.0007676873,-21.83845,35.66992,Unknown
-0.08666992,-0.135498,-0.449707,-0.1214581,-0.1691756,0.0147481,-0.980891,0.5967583,0.001324827,-16.4813,10.45524,-0.625,-0.4121094,0.7922363,-0.009236574,-0.1493817,0.3509389,-1.295139,2.061807,0.004496396,-22.21495,34.98732,Unknown
-0.07958984,-0.1342773,-0.4443359,-0.381,-0.2455115,-0.1379237,-1.297817,0.7760438,-0.0006061048,-16.56582,9.729474,-0.6269531,-0.4064941,0.7819824,0.08236647,-0.1951832,0.09139694,-1.709624,2.726434,0.005775953,-22.07595,35.42712,Unknown
-0.09057617,-0.135498,-0.4460449,-0.1367252,-0.2760458,0.06054974,-1.605436,0.9763739,0.0003021412,-16.57831,10.99546,-0.6223145,-0.4099121,0.8007813,-0.02450383,-0.1188473,0.3509389,-2.11595,3.363643,0.01104004,-22.00795,34.67427,Unknown
-0.08349609,-0.1362305,-0.4453125,-0.4420686,-0.4897862,0.3658931,-1.914526,1.152947,0.005790538,-16.73505,10.16499,-0.626709,-0.4042969,0.796875,-0.02450383,-0.08831299,-0.1070763,-2.50883,3.995953,0.009433892,-21.74195,35.04408,Unknown
-0.0859375,-0.1335449,-0.440918,-0.09092379,-0.2455115,-0.01578617,-2.208612,1.337847,0.00556953,-16.55644,10.56637,-0.6259766,-0.40625,0.8024902,0.2045038,0.1254275,-0.0002061129,-2.891045,4.614471,0.009431007,-21.75994,34.83585,Unknown
-0.08422852,-0.1357422,-0.4445801,0.1075497,-0.1081069,-0.1837251,-2.496833,1.514909,0.002813654,-16.69873,10.27047,-0.6276855,-0.4038086,0.7770996,0.2961069,0.1254275,0.01506107,-3.269081,5.236636,0.009656923,-22.01047,35.63058,Unknown
-0.0859375,-0.1328125,-0.4431152,0.5502977,0.227771,-0.04632068,-2.767268,1.698218,0.002165165,-16.3961,10.52411,-0.626709,-0.40625,0.7844238,0.05183208,0.01855725,-0.04600763,-3.643569,5.83923,0.009012817,-22.02913,35.35359,Unknown
-0.0859375,-0.1306152,-0.4440918,0.32129,0.1667023,0.07581687,-3.029333,1.877048,0.003302418,-16.10664,10.5172,-0.6245117,-0.4064941,0.786377,0.219771,-0.3173206,4.030328,-4.008225,6.421825,0.06946774,-22.03795,35.20229,Unknown
-0.08984375,-0.1384277,-0.4526367,0.3976259,0.3499084,0.091084,-3.297246,2.059258,0.004577594,-16.69783,10.74755,-0.6252441,-0.4108887,0.7929688,0.4640458,-0.2257175,0.3204046,-4.364516,6.990195,0.0739534,-22.14113,34.99519,Unknown
-0.08789063,-0.137207,-0.4431152,0.0006792545,0.01403052,0.07581687,-3.569188,2.232855,0.005714847,-16.89485,10.72876,-0.6296387,-0.4025879,0.7890625,-0.1161069,-0.4852595,0.3509389,-4.713778,7.551353,0.07921749,-21.74233,35.40478,Unknown
-0.08154297,-0.1384277,-0.4431152,-0.07565641,-0.09283972,0.1063511,-3.840495,2.386081,0.007310114,-17.07894,9.962406,-0.6254883,-0.4074707,0.7832031,0.2961069,-0.2257175,0.1982672,-5.057611,8.103345,0.0821915,-22.12313,35.31683,Unknown
-0.0847168,-0.1350098,-0.451416,-0.3046641,-0.4592519,-0.1837251,-4.095478,2.535916,0.004737963,-16.38064,10.19286,-0.6403809,-0.4177246,0.7827148,0.0976336,0.003290057,0.1066641,-5.403986,8.657752,0.0836848,-22.44339,35.82153,Unknown
-0.09057617,-0.1330566,-0.4418945,-0.09092379,-0.123374,0.1521528,-4.343596,2.705467,0.007020254,-16.4346,11.10419,-0.6279297,-0.4072266,0.7832031,-0.02450383,0.09489316,0.1524656,-5.737882,9.194505,0.08597178,-22.08078,35.42564,Unknown
-0.08520508,-0.135498,-0.4431152,-0.1214581,-0.642458,-0.04632068,-4.592674,2.850928,0.006371765,-16.71418,10.41925,-0.6323242,-0.4033203,0.7927246,-0.299313,0.1254275,0.04559542,-6.061027,9.720542,0.08661012,-21.6898,35.41034,Unknown
-0.08911133,-0.1335449,-0.4499512,0.1991527,0.01403052,0.03001523,-4.822546,3.009121,0.006821993,-16.2326,10.75027,-0.6264648,-0.4086914,0.7927246,0.08236647,0.1101603,-0.1223435,-6.379054,10.22944,0.08477496,-22.02295,35.08471,Unknown
-0.08520508,-0.1340332,-0.4489746,0.1838853,-0.001236677,-0.0310533,-5.050497,3.15505,0.006387247,-16.34625,10.30643,-0.6257324,-0.401123,0.7856445,0.2045038,-0.02724427,-0.1223435,-6.684076,10.73148,0.08306216,-21.77048,35.34999,Unknown
