xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,State_S2
-0.1062012,-0.08178711,-0.4575195,-0.1214581,-0.1844428,0.3048244,-9.785701,13.11412,1.071703,-9.878,12.8712,-0.7507324,-0.2624512,0.7160645,0.1892367,-0.179916,-0.04600763,-13.42559,44.48947,5.361119,-14.19639,44.54897,Unknown
-0.1125488,-0.08032227,-0.4633789,-0.1214581,-0.2455115,0.1216183,-9.78288,13.11764,1.073406,-9.561316,13.45881,-0.7561035,-0.25,0.7214355,-0.1771755,-0.1646488,4.060863,-13.42858,44.49183,5.417971,-13.45344,44.72021,Unknown
-0.1052246,-0.0793457,-0.4516602,-0.3962674,-0.5661222,-0.1531909,-9.786449,13.10655,1.071414,-9.708946,12.92333,-0.762207,-0.2565918,0.7358398,-0.299313,-0.3783893,0.1066641,-13.43611,44.48447,5.419357,-13.61459,44.36491,Unknown
-0.1052246,-0.08154297,-0.4428711,0.04648089,-0.2455115,-0.01578617,-9.793204,13.10409,1.071193,-10.15605,13.15224,-0.7504883,-0.2475586,0.7341309,-0.1161069,-0.2104504,-0.0002061129,-13.43435,44.47367,5.419354,-13.26821,44.08878,Unknown
-0.1083984,-0.07836914,-0.4501953,0.07701516,-0.09283972,-0.07685494,-9.788399,13.10763,1.070117,-9.605789,13.34468,-0.7521973,-0.2541504,0.7253418,0.1129008,0.09489316,0.04559542,-13.43751,44.47315,5.419993,-13.66992,44.38285,Unknown
-0.1066895,-0.08007813,-0.4550781,0.1686182,-0.06230533,-0.168458,-9.784584,13.10459,1.06759,-9.721561,13.00144,-0.7631836,-0.2519531,0.7241211,0.5709161,0.1101603,-0.1070763,-13.42973,44.48267,5.418387,-13.46803,44.86823,Unknown
-0.1140137,-0.0859375,-0.4533691,0.1228168,0.2125039,-0.1379237,-9.795534,13.12299,1.065659,-10.41634,13.87874,-0.748291,-0.2497559,0.7229004,0.4487787,-0.07304579,0.1066641,-13.42494,44.47949,5.41988,-13.4983,44.3738,Unknown
-0.1115723,-0.08056641,-0.4619141,-0.1825268,-0.1081069,-0.1379237,-9.79458,13.12674,1.063728,-9.622588,13.38468,-0.7570801,-0.2458496,0.7211914,0.1129008,0.1864962,-0.04600763,-13.41952,44.48879,5.419236,-13.23144,44.81652,Unknown
-0.1088867,-0.08154297,-0.453125,-0.2741299,-0.3676488,0.1674199,-9.800678,13.12564,1.065905,-9.924901,13.30612,-0.7590332,-0.2509766,0.7329102,-0.4214504,-0.1951832,0.1524656,-13.4241,44.48483,5.421218,-13.37997,44.41508,Unknown
-0.1074219,-0.07836914,-0.4458008,-0.1214581,-0.3371145,0.259023,-9.800297,13.12552,1.069531,-9.698294,13.35071,-0.7495117,-0.2573242,0.7229004,-0.4061831,-0.2257175,0.1677328,-13.4388,44.47857,5.423567,-13.88045,44.32685,Unknown
