this file contains data from all 3 sensors in the format of sensor1,2,3 with each sensor having accx,accy,accz,gyrox,gyroy,gyroz,gyro_biasedx,...,gyro_biasedz.

sensor-1-1,sensor-1-2,sensor-1-3,sensor-1-4,sensor-1-5,sensor-1-6,sensor-1-7,sensor-1-8,sensor-1-9,sensor-2-1,sensor-2-2,sensor-2-3,sensor-2-4,sensor-2-5,sensor-2-6,sensor-2-7,sensor-2-8,sensor-2-9,sensor-3-1,sensor-3-2,sensor-3-3,sensor-3-4,sensor-3-5,sensor-3-6,sensor-3-7,sensor-3-8,sensor-3-9,posture
-0.5249023,-0.8256836,0.04541016,-1.801527,-1.954198,1.129771,0.3413438,-0.2490375,-0.2932826,-0.6269531,0.2133789,0.8796387,-0.610687,0.778626,-0.9007633,0.6385953,-0.1712672,-0.5601833,0.4257813,0.2773438,0.1086426,-2.244275,0.4122138,-3.419847,1.556245,-0.3844886,-0.03947973,NEUTRAL
-0.5148926,-0.8208008,0.05029297,-1.954198,-1.419847,1.664122,0.188672,0.2853136,0.2410685,-0.6274414,0.1955566,0.8857422,-1.480916,0.8549618,-0.610687,-0.2316337,-0.09493131,-0.270107,0.425293,0.279541,0.1008301,-2.870229,2.21374,-3.832061,0.9302907,1.417038,-0.4516935,NEUTRAL
-0.5180664,-0.8337402,0.04711914,-2.70229,-1.633588,1.725191,-0.5594196,0.07157314,0.3021373,-0.6257324,0.1970215,0.8847656,-1.145038,0.3816794,-0.1374046,0.1042442,-0.5682137,0.2031754,0.4331055,0.2814941,0.107666,-3.694656,0.4732824,-3.770992,0.1058633,-0.3234199,-0.3906248,NEUTRAL
-0.5197754,-0.8283691,0.04956055,-2.854962,-1.526718,1.740458,-0.7120914,0.1784434,0.3174044,-0.6264648,0.1992188,0.880127,-1.450382,1.022901,-0.2442748,-0.2010993,0.0730077,0.09630518,0.4309082,0.279541,0.1008301,-4.732824,1.725191,-0.03053435,-0.9323046,0.9284885,3.349833,NEUTRAL
-0.5185547,-0.8327637,0.05151367,-2.366412,-1.725191,1.374046,-0.2235417,-0.0200299,-0.04900777,-0.626709,0.203125,0.8830566,-2.091603,0.7633588,-0.07633588,-0.8423206,-0.1865343,0.2642441,0.4257813,0.2783203,0.1054688,-3.664122,0.4274809,-3.450382,0.1363976,-0.3692214,-0.07001424,NEUTRAL
-0.5202637,-0.826416,0.05029297,-2.167939,-1.450382,1.236641,-0.02506852,0.2547793,-0.1864124,-0.6186523,0.1938477,0.8852539,-1.40458,0.4885496,-0.1832061,-0.1552978,-0.4613435,0.1573739,0.4291992,0.2663574,0.109375,-4.503817,1.053435,-3.435115,-0.7032969,0.2567327,-0.0547471,NEUTRAL
-0.5131836,-0.8293457,0.05078125,-2.549618,-1.328244,1.068702,-0.4067478,0.3769166,-0.3543513,-0.6203613,0.1987305,0.8845215,-0.5801527,0.4885496,-0.2900764,0.6691297,-0.4613435,0.05050364,0.4248047,0.2753906,0.109375,-4.534351,1.267176,-3.78626,-0.7338316,0.4704732,-0.4058921,NEUTRAL
-0.5185547,-0.831543,0.04614258,-2.229008,-1.328244,0.9923664,-0.08613729,0.3769166,-0.4306872,-0.6245117,0.2016602,0.8908691,-0.3206107,0.4427481,-0.4580153,0.9286717,-0.507145,-0.1174353,0.4287109,0.2758789,0.1096191,-4.427481,1.160305,-3.78626,-0.626961,0.3636031,-0.4058921,NEUTRAL
-0.517334,-0.8334961,0.04760742,-1.755725,-1.175573,1.160305,0.3871453,0.5295885,-0.2627482,-0.6237793,0.2099609,0.8935547,-1.328244,0.2137404,-0.6717557,-0.07896197,-0.7361526,-0.3311758,0.4294434,0.2819824,0.1096191,-4.549618,1.083969,-3.78626,-0.7490985,0.2872672,-0.4058921,NEUTRAL
-0.5195313,-0.8283691,0.04345703,-1.679389,-1.129771,1.129771,0.463481,0.57539,-0.2932826,-0.6184082,0.2050781,0.8876953,-1.236641,0.6412213,-0.7480916,0.01264119,-0.3086718,-0.4075116,0.4277344,0.2824707,0.09472656,-5.526718,0.6412213,-4.061069,-1.726198,-0.155481,-0.680701,NEUTRAL
