sensor-1-1,sensor-1-2,sensor-1-3,sensor-1-4,sensor-1-5,sensor-1-6,sensor-1-7,sensor-1-8,sensor-1-9,sensor-1-10,sensor-1-11,sensor-1-12,sensor-2-1,sensor-2-2,sensor-2-3,sensor-2-4,sensor-2-5,sensor-2-6,sensor-2-7,sensor-2-8,sensor-2-9,sensor-2-10,sensor-2-11,sensor-2-12,sensor-3-1,sensor-3-2,sensor-3-3,sensor-3-4,sensor-3-5,sensor-3-6,sensor-3-7,sensor-3-8,sensor-3-9,sensor-3-10,sensor-3-11,sensor-3-12,posture
-0.5473633,-0.7775879,-0.2351074,1.527176,-0.7132821,-0.02183127,-52.30593,33.66533,-0.109334,-52.54382,33.97206,0.018,-0.4689941,0.6645508,0.6987305,-0.617924,-0.2770088,0.1023818,38.40129,26.01163,-0.9154139,38.29778,25.93657,0.018,0.4035645,0.2978516,0.1625977,0.4540155,-0.03636587,-0.09306693,33.49032,-50.12189,-0.3113281,34.39462,-49.94073,0.018,NEUTRAL
-0.5441895,-0.7807617,-0.2421875,1.206566,-0.7285492,0.1308405,-52.29054,33.65149,-0.106848,-52.65974,33.65196,0.019,-0.4748535,0.6655273,0.697998,-0.5721225,-0.3838789,0.1023818,38.38762,26.00853,-0.9134686,38.25031,26.21408,0.019,0.4042969,0.2927246,0.1777344,0.08760333,0.2537105,-0.5205479,33.49288,-50.10941,-0.3212185,33.53695,-49.7339,0.019,NEUTRAL
-0.5466309,-0.7783203,-0.2336426,1.466108,-1.04916,-0.03709841,-52.27143,33.6385,-0.1075158,-52.62794,33.92741,0.018,-0.4724121,0.6674805,0.6867676,-0.358382,-0.1396042,0.1023818,38.38727,26.01102,-0.9116258,38.68629,26.25622,0.018,0.4060059,0.291748,0.1618652,0.05706882,0.4216494,-0.5205479,33.49849,-50.11153,-0.3305884,33.7227,-50.58774,0.018,NEUTRAL
-0.5466309,-0.7834473,-0.2375488,1.969925,-1.033893,0.1155734,-52.246,33.62212,-0.1054354,-52.73755,33.7313,0.018,-0.4699707,0.6647949,0.7004395,-0.190443,-0.5212836,0.1787177,38.38103,26.00062,-0.9084088,38.2431,25.95059,0.018,0.401123,0.2885742,0.182373,-0.09560275,-0.09743458,-0.7342882,33.49125,-50.10303,-0.3438056,33.22097,-49.60085,0.018,NEUTRAL
-0.5478516,-0.7810059,-0.2426758,2.687482,-1.323969,0.4056497,-52.20376,33.60266,-0.09813375,-52.50431,33.8172,0.018,-0.4770508,0.6655273,0.6994629,-0.8774661,-0.1548713,0.2092521,38.36132,26.00376,-0.9046423,38.16969,26.29403,0.018,0.4038086,0.291748,0.1645508,-0.4314806,0.2537105,-1.26864,33.48952,-50.10299,-0.3666411,33.78539,-50.32477,0.018,NEUTRAL
-0.5439453,-0.7729492,-0.2407227,1.969925,-0.5453432,0.1766421,-52.17333,33.59893,-0.09495419,-52.41955,33.89703,0.018,-0.4768066,0.6569824,0.6914063,-0.5873897,-0.5365507,0.3619238,38.34441,26.00544,-0.8981277,38.03394,26.56139,0.018,0.4069824,0.2878418,0.1704102,-0.7062898,-0.2501063,-0.4289446,33.46966,-50.117,-0.3743621,33.11956,-50.58283,0.018,NEUTRAL
-0.5478516,-0.7814941,-0.2495117,1.72565,-0.1331294,-0.06763279,-52.14727,33.59932,-0.09617157,-52.3925,33.73576,0.018,-0.4824219,0.6696777,0.6958008,-0.190443,-0.8266271,0.3161223,38.341,26.00164,-0.8924375,38.34203,26.54435,0.018,0.4008789,0.282959,0.1733398,-0.4772823,-0.6317858,-0.3526089,33.45061,-50.13347,-0.3807091,32.93815,-50.38335,0.018,NEUTRAL
-0.5480957,-0.7797852,-0.2492676,1.969925,-0.8048851,-0.266106,-52.1161,33.58919,-0.1009615,-52.32627,33.80254,0.018,-0.4677734,0.6604004,0.6916504,-0.1293744,-0.8876957,-0.141893,38.33873,25.98726,-0.8949915,38.34108,26.06554,0.018,0.404541,0.2873535,0.1713867,-0.00399971,-0.5554499,-0.3068073,33.44526,-50.14874,-0.3862316,33.18649,-50.40697,0.018,NEUTRAL
-0.5488281,-0.7832031,-0.2272949,1.847787,-0.9117554,-0.2813732,-52.0976,33.58012,-0.1060262,-52.82092,33.93979,0.018,-0.4697266,0.6704102,0.6904297,-0.1446415,-0.5365507,-0.03502274,38.34457,25.97838,-0.895622,38.75827,26.01686,0.018,0.4030762,0.2880859,0.1860352,0.4387484,-0.479114,-0.2152042,33.44371,-50.1464,-0.3901052,32.98096,-49.60927,0.018,NEUTRAL
-0.550293,-0.7756348,-0.2434082,3.176032,-1.812519,0.1461077,-52.04355,33.55844,-0.1033963,-52.19638,34.09504,0.018,-0.4755859,0.6647949,0.7114258,-0.5721225,-0.2922759,0.1634506,38.32442,25.97431,-0.8926799,37.84207,26.0325,0.018,0.402832,0.2961426,0.1706543,0.9883666,0.2079089,-0.1083341,33.47417,-50.13353,-0.3920553,34.09464,-49.68612,0.018,NEUTRAL
