xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,Posture
0.0402832,-0.2607422,-0.3979492,0.1228168,0.2583054,0.9460459,-31.92283,-6.512705,-147.0294,-33.09966,-4.839736,-146.4561,-0.3654785,-0.9238281,0.2414551,0.6625191,1.285733,0.442542,-64.52757,20.51622,-77.5601,-64.63191,20.94464,-76.3399,LB
0.04638672,-0.2607422,-0.4020996,0.1075497,0.6247175,1.113985,-31.93857,-6.483839,-147.005,-32.7888,-5.52857,-146.6298,-0.3552246,-0.9316406,0.2463379,0.6777863,1.285733,0.3509389,-64.52923,20.52949,-77.52618,-65.10871,20.23495,-76.12225,LB
0.04272461,-0.2602539,-0.4082031,-0.3504658,0.2735725,1.46513,-31.95252,-6.451011,-146.986,-32.37862,-5.043517,-147.1337,-0.3527832,-0.9321289,0.2434082,0.4335115,1.804817,0.2440687,-64.5384,20.54768,-77.49759,-65.30633,20.11228,-76.27558,LB
0.04223633,-0.2600098,-0.402832,-0.5031376,0.3957099,1.572,-31.97433,-6.417248,-146.9611,-32.69786,-5.034307,-146.8187,-0.3608398,-0.9345703,0.2421875,0.1129008,1.270466,0.1066641,-64.54731,20.56403,-77.47437,-65.06131,20.49355,-76.40952,LB
0.03710938,-0.2595215,-0.3933105,-0.2588627,0.5331145,1.602534,-32.00468,-6.371124,-146.9246,-33.30175,-4.502884,-146.3145,-0.3591309,-0.9335938,0.2495117,0.03656495,1.163595,0.1066641,-64.55385,20.57759,-77.44318,-64.90138,20.38669,-75.99393,LB
0.04663086,-0.2556152,-0.4084473,0.04648089,0.8842595,1.46513,-32.00136,-6.341257,-146.9154,-31.87264,-5.527697,-147.5375,-0.3691406,-0.9396973,0.2368164,0.2655725,1.071992,0.01506107,-64.55848,20.59885,-77.43008,-64.98069,20.8528,-76.79911,LB
0.04516602,-0.2583008,-0.404541,0.1075497,0.5331145,1.602534,-32.0077,-6.314111,-146.8945,-32.3976,-5.375785,-147.0491,-0.3725586,-0.9306641,0.2436523,0.6319848,1.255198,0.1982672,-64.54676,20.62871,-77.40534,-64.4371,21.16954,-76.33897,LB
0.0480957,-0.2575684,-0.4211426,-0.04512215,-0.3981832,1.46513,-31.9939,-6.304973,-146.8973,-31.28473,-5.564554,-148.1116,-0.3693848,-0.9387207,0.2402344,0.7235878,1.636878,0.6562824,-64.54228,20.65755,-77.37969,-64.85475,20.86747,-76.60491,LB
0.046875,-0.2570801,-0.4047852,-0.6252747,0.0,1.220855,-32.00816,-6.290536,-146.8845,-32.24727,-5.583132,-147.1548,-0.3662109,-0.9331055,0.2368164,0.5098474,1.301,1.083763,-64.54294,20.68006,-77.35032,-64.94976,20.82705,-76.70757,LB
0.04785156,-0.2548828,-0.4050293,-0.5794735,0.0,1.113985,-32.01659,-6.278928,-146.8778,-32.00325,-5.710137,-147.369,-0.3669434,-0.9355469,0.2397461,0.3724428,0.9803894,1.328038,-64.54453,20.69695,-77.31542,-64.89603,20.80409,-76.58183,LB
0.03686523,-0.2592773,-0.407959,-0.4726033,-0.3676488,0.8849771,-32.02939,-6.245619,-146.8742,-32.33252,-4.361259,-147.302,-0.3686523,-0.932373,0.2438965,0.03656495,0.0,1.312771,-64.54583,20.70167,-77.27766,-64.6348,20.93288,-76.32768,LB
0.05151367,-0.2546387,-0.3950195,-0.09092379,-0.1386412,0.3658931,-32.04188,-6.247847,-146.8646,-32.58714,-6.255117,-146.6678,-0.3740234,-0.9291992,0.2370605,-0.02450383,0.6292443,1.236435,-64.54565,20.72303,-77.24762,-64.51926,21.30724,-76.68481,LB
0.04663086,-0.253418,-0.402832,0.1991527,-0.07757253,0.03001523,-32.03815,-6.235951,-146.8748,-32.002,-5.596072,-147.3949,-0.3740234,-0.9267578,0.2434082,0.02129769,0.4002366,1.389107,-64.54019,20.74091,-77.20848,-64.28826,21.32288,-76.31168,LB
0.03637695,-0.251709,-0.4077148,0.4739618,0.1361679,-0.6112061,-32.02219,-6.196061,-146.9072,-31.58829,-4.341515,-148.045,-0.3737793,-0.9291992,0.2373047,-0.4672519,0.1864962,1.236435,-64.54672,20.75471,-77.17954,-64.52305,21.29336,-76.67042,LB
0.04443359,-0.2568359,-0.4121094,0.4739618,0.8231909,-1.420366,-32.01045,-6.164604,-146.9436,-31.78366,-5.22824,-147.6874,-0.380127,-0.9206543,0.236084,-0.7878625,0.6139771,1.572313,-64.54894,20.78461,-77.14615,-64.07848,21.79882,-76.66571,LB
