xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,Posture
-0.2314453,-0.6774902,0.8369141,0.4945802,0.5834427,-0.7940992,-38.0872,12.13993,-41.52989,-37.96223,12.13089,-40.54513,-0.3603516,-0.2114258,-0.2180176,1.40526,0.3804427,0.350626,-26.89077,48.81783,-117.5132,-26.65644,49.87639,-117.5568,S_LF
-0.2241211,-0.6848145,0.8449707,0.4335115,0.4460382,-0.946771,-38.08056,12.13656,-41.52234,-38.07414,11.64357,-40.45617,-0.3537598,-0.215332,-0.2182617,1.206786,0.578916,0.3353589,-26.88293,48.83167,-117.5138,-27.38561,49.08448,-117.7902,S_LF
-0.2380371,-0.6811523,0.8413086,0.00603056,0.5529084,-0.9315039,-38.07727,12.14999,-41.51794,-37.92044,12.40191,-40.61799,-0.3537598,-0.2175293,-0.2209473,1.02358,0.4109771,0.04528236,-26.8811,48.8364,-117.5232,-27.54388,48.76647,-118.0144,S_LF
-0.230957,-0.6806641,0.8217773,0.1892367,0.6750459,-0.9009695,-38.08432,12.16117,-41.52433,-38.5685,12.21282,-41.17506,-0.359375,-0.2180176,-0.2297363,0.5960991,-0.001236677,0.182687,-26.87677,48.83186,-117.5434,-27.07342,48.61018,-118.659,S_LF
-0.2297363,-0.6818848,0.8310547,0.0976336,0.3239008,-0.5192901,-38.08806,12.16366,-41.51871,-38.33849,12.06315,-40.88673,-0.3557129,-0.2141113,-0.2265625,0.2449541,0.09036642,0.3048244,-26.87396,48.83196,-117.5605,-26.9164,48.7704,-118.6211,S_LF
-0.2355957,-0.6813965,0.8359375,0.2045038,0.1101603,-0.3208168,-38.08562,12.16846,-41.50859,-38.11648,12.32291,-40.77699,-0.3605957,-0.2141113,-0.2319336,0.3976259,0.07509923,-0.0310533,-26.86138,48.83247,-117.5886,-26.53711,48.80222,-118.9448,S_LF
-0.2268066,-0.6779785,0.829834,0.219771,0.09489316,-0.1070763,-38.08551,12.1655,-41.4949,-38.24161,11.95066,-40.74521,-0.3630371,-0.2119141,-0.2070313,0.489229,0.3957099,0.0147481,-26.85472,48.8773,-117.561,-26.88808,50.78357,-116.2206,S_LF
-0.2329102,-0.6787109,0.831543,0.08236647,-0.02724427,0.07612977,-38.08591,12.16665,-41.47972,-38.16587,12.24285,-40.79185,-0.3596191,-0.2104492,-0.2229004,0.1686182,0.3346412,-0.2447939,-26.84407,48.89577,-117.5763,-26.44587,49.55466,-118.1448,S_LF
-0.2307129,-0.6779785,0.8417969,-0.1161069,0.06435877,0.0,-38.08266,12.16524,-41.45791,-37.83826,12.04904,-40.38947,-0.3637695,-0.2133789,-0.2231445,0.1686182,0.3346412,-0.1379237,-26.83618,48.91599,-117.5843,-26.56508,49.67739,-117.8839,S_LF
-0.2336426,-0.6779785,0.8364258,-0.1008396,0.1406947,-0.03074045,-38.08196,12.16873,-41.44134,-37.97847,12.2434,-40.60807,-0.359375,-0.2131348,-0.2165527,0.229687,0.1056336,-0.168458,-26.83467,48.93494,-117.5831,-26.9294,49.78613,-117.3971,S_LF
