xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,Posture
-0.07202148,-0.4418945,-0.1911621,0.3060229,-0.0470382,0.5338321,-64.32484,8.837849,-113.8306,-65.18981,8.507595,-113.1207,-0.02636719,-0.9853516,0.3618164,0.2350382,0.8887863,-0.3666183,-69.85907,1.632857,-70.08561,-69.78786,1.438925,-69.84364,LR
-0.0703125,-0.4404297,-0.1955566,0.2449541,-0.1539084,0.4269619,-64.32954,8.824857,-113.8212,-64.74012,8.30139,-113.6756,-0.02856445,-0.9841309,0.361084,0.3724428,0.7361145,-0.2292137,-69.85229,1.642238,-70.08446,-69.79372,1.560856,-69.85938,LR
-0.07788086,-0.4411621,-0.2070313,0.1533511,-0.3218473,0.442229,-64.30812,8.825226,-113.8344,-63.37116,9.079823,-114.8035,-0.03466797,-0.9858398,0.3632813,0.2350382,0.2780993,-0.2750153,-69.84553,1.651279,-70.08247,-69.68679,1.889895,-69.78268,LR
-0.07104492,-0.4367676,-0.1923828,0.1991527,-0.01650381,0.2437558,-64.31599,8.817816,-113.824,-64.84786,8.466875,-113.4973,-0.02905273,-0.9863281,0.3601074,0.2045038,0.1101603,-0.0002061129,-69.84327,1.651571,-70.07983,-69.88296,1.584913,-69.95092,LR
-0.08178711,-0.4353027,-0.1936035,-0.01458788,0.01403052,-0.1531909,-64.31456,8.836597,-113.8232,-64.22812,9.741136,-113.6105,-0.03100586,-0.980957,0.3642578,-0.1771755,0.2322977,-0.2139466,-69.84162,1.65772,-70.07581,-69.561,1.697228,-69.63791,LR
-0.0715332,-0.4436035,-0.1972656,0.4586947,0.1972366,-0.3211298,-64.31522,8.830401,-113.8255,-64.68474,8.38183,-113.7023,-0.02783203,-0.9899902,0.3605957,-0.4214504,0.6597786,-0.2444809,-69.84962,1.664528,-70.07777,-69.93149,1.513155,-69.99355,LR
-0.07275391,-0.4401855,-0.1982422,0.1075497,-0.001236677,-0.4738016,-64.31477,8.825178,-113.8351,-64.37151,8.570106,-113.9571,-0.02563477,-0.989502,0.34375,-0.4214504,0.06435877,-0.2902825,-69.87469,1.660221,-70.09746,-70.79362,1.401867,-70.84888,LR
-0.07128906,-0.4367676,-0.201416,0.5044961,-0.4897862,0.1063511,-64.29971,8.810093,-113.8463,-63.93284,8.430923,-114.4716,-0.03564453,-0.9821777,0.3618164,-0.07030535,-0.1188473,-0.01547329,-69.87198,1.664277,-70.09151,-69.6872,1.950405,-69.78934,LR
-0.07739258,-0.4321289,-0.1940918,-0.06038928,-0.4439847,-0.06158781,-64.29855,8.812502,-113.8473,-64.19426,9.278629,-113.8511,-0.03393555,-0.9887695,0.3596191,-0.07030535,-0.2715191,0.01506107,-69.87428,1.663682,-70.08993,-69.93176,1.847374,-70.02431,LR
-0.07373047,-0.4360352,-0.1992188,-0.3351984,-0.5813893,-0.168458,-64.29802,8.802578,-113.8579,-64.02588,8.743612,-114.2512,-0.02612305,-0.9851074,0.3642578,-0.08557248,-0.3173206,0.0,-69.87124,1.654239,-70.08241,-69.65954,1.424772,-69.71394,LR
-0.07519531,-0.4362793,-0.2011719,-0.289397,-0.3065802,-0.2905953,-64.29212,8.799932,-113.8738,-63.79048,8.895636,-114.4374,-0.02294922,-0.9851074,0.3569336,-0.2840458,0.04909158,-0.04600763,-69.87889,1.64697,-70.0832,-70.04517,1.254735,-70.08803,LR
-0.07470703,-0.4399414,-0.1965332,0.2449541,-0.06230533,-0.2142596,-64.2918,8.799282,-113.8748,-64.45631,8.813194,-113.7697,-0.01855469,-0.9694824,0.3657227,-0.558855,0.171229,-0.2902825,-69.87568,1.637066,-70.07251,-69.30744,1.025885,-69.33524,LR
-0.0793457,-0.4404297,-0.2041016,0.1228168,0.2125039,-0.2905953,-64.27543,8.812085,-113.8919,-63.56338,9.283284,-114.5164,-0.0246582,-0.9865723,0.3647461,-0.5130534,0.2780993,-0.336084,-69.87906,1.635271,-70.07032,-69.66759,1.342936,-69.71594,LR
-0.07519531,-0.440918,-0.1948242,0.1686182,0.09036642,-0.1989923,-64.28056,8.814497,-113.8877,-64.65636,8.866288,-113.5366,-0.02587891,-0.9814453,0.362793,-0.1771755,0.430771,-0.2139466,-69.87739,1.637234,-70.06645,-69.66574,1.416779,-69.71955,LR
-0.07543945,-0.4384766,-0.1943359,0.4434273,0.07509923,0.1063511,-64.27988,8.818089,-113.8803,-64.5722,8.938958,-113.5952,-0.02563477,-0.9904785,0.3620605,-0.1161069,0.59871,-0.2444809,-69.87903,1.64114,-70.06726,-69.87433,1.392475,-69.92675,LR
-0.07446289,-0.4372559,-0.1965332,0.1838853,-0.001236677,0.091084,-64.27814,8.818291,-113.8793,-64.32877,8.829046,-113.8977,-0.02246094,-0.986084,0.3569336,-0.2687786,0.430771,-0.2292137,-69.8867,1.639189,-70.0714,-70.06496,1.226972,-70.10597,LR
-0.07275391,-0.4321289,-0.2038574,0.3670917,0.05983204,0.182687,-64.25471,8.81602,-113.8979,-63.39397,8.657832,-114.948,-0.02758789,-0.9865723,0.3659668,-0.08557248,0.6750459,-0.1834122,-69.88219,1.647026,-70.06595,-69.59478,1.501819,-69.65507,LR
-0.07324219,-0.4382324,-0.1962891,0.2754886,0.3499084,-0.0005190372,-64.25453,8.818293,-113.8966,-64.44865,8.672442,-113.835,-0.02124023,-0.986084,0.3554688,-0.3145801,0.7361145,-0.1834122,-69.89205,1.648124,-70.07094,-70.14391,1.160858,-70.18075,LR
-0.0769043,-0.434082,-0.1975098,0.32129,0.3804427,0.2284887,-64.24421,8.830729,-113.898,-63.97465,9.16051,-114.1337,-0.01635742,-0.9870605,0.3571777,0.1129008,0.6597786,-0.2750153,-69.8943,1.642715,-70.07575,-70.08762,0.8927672,-70.10935,LR
-0.07128906,-0.4431152,-0.1965332,0.04648089,0.2125039,0.07581687,-64.25348,8.824564,-113.8919,-64.74191,8.366261,-113.6484,-0.03442383,-0.9992676,0.3583984,0.03656495,0.59871,-0.1986794,-69.89958,1.655807,-70.08276,-70.18531,1.857251,-70.27986,LR
-0.07128906,-0.4428711,-0.2009277,0.0922823,-0.06230533,0.182687,-64.25293,8.813947,-113.8939,-64.29368,8.339531,-114.1289,-0.03149414,-0.9914551,0.3581543,0.2350382,0.7055801,-0.07654199,-69.89949,1.667288,-70.08517,-70.06757,1.711259,-70.14743,LR
-0.06738281,-0.4423828,-0.1958008,-0.1214581,-0.2607787,0.3200917,-64.26799,8.792422,-113.884,-64.9166,7.929415,-113.6322,-0.02246094,-0.9907227,0.3518066,0.1587023,0.3849695,0.2593359,-69.90743,1.664079,-70.08874,-70.41322,1.223896,-70.45464,LR
-0.07446289,-0.453125,-0.1887207,-0.09092379,-0.7493282,0.3353589,-64.30157,8.778079,-113.8482,-65.88027,8.626038,-112.3414,-0.02783203,-0.9887695,0.3547363,0.1892367,0.2475649,0.2746031,-69.91065,1.66479,-70.08835,-70.20782,1.517676,-70.27098,LR
-0.07250977,-0.4243164,-0.2036133,-0.3046641,-0.8867329,0.2742901,-64.28015,8.764651,-113.8735,-63.00655,8.75847,-115.3144,-0.01879883,-0.9782715,0.3439941,0.5709161,-0.04251146,0.4120076,-69.91605,1.651641,-70.09312,-70.59981,1.03856,-70.62987,LR
-0.06884766,-0.4372559,-0.1987305,-0.5031376,-0.7493282,0.1368854,-64.2882,8.741491,-113.8776,-64.31263,8.157411,-114.1783,-0.03393555,-0.9868164,0.3522949,0.1434351,-0.07304579,0.2746031,-69.92101,1.654634,-70.09451,-70.26942,1.854986,-70.36407,LR
-0.07446289,-0.4516602,-0.2041016,-0.3351984,-0.8867329,-0.01578617,-64.29359,8.724508,-113.8809,-64.3112,8.54406,-114.0308,-0.03271484,-0.9892578,0.3603516,0.08236647,-0.2409847,0.3509389,-69.91956,1.653594,-70.08736,-69.90937,1.779766,-69.99517,LR
-0.0703125,-0.4355469,-0.1999512,-0.3962674,-0.7187939,0.2895572,-64.29494,8.705678,-113.8864,-64.05069,8.346507,-114.3806,-0.02661133,-0.9882813,0.3596191,0.2961069,-0.2257175,0.3051374,-69.91561,1.645973,-70.08105,-69.95407,1.449486,-70.01106,LR
-0.07617188,-0.4436035,-0.204834,0.0,-0.8409313,0.1063511,-64.28451,8.697243,-113.8966,-63.77311,8.860781,-114.4698,-0.03076172,-0.9899902,0.354248,0.1892367,-0.2257175,0.3204046,-69.91956,1.643472,-70.08144,-70.2429,1.675775,-70.32004,LR
-0.07446289,-0.439209,-0.2055664,-0.3199313,0.0,0.1674199,-64.27424,8.697892,-113.9116,-63.53598,8.729712,-114.7711,-0.02246094,-0.9870605,0.3549805,0.2808397,-0.179916,0.4120076,-69.92071,1.632491,-70.07824,-70.18321,1.226673,-70.22441,LR
-0.0769043,-0.4406738,-0.1960449,-0.4726033,-0.8256641,0.3353589,-64.28486,8.692986,-113.9017,-64.45778,9.059465,-113.6655,-0.01953125,-0.9904785,0.354248,0.4182443,-0.02724427,0.5036107,-69.922,1.620715,-70.07574,-70.29264,1.0637,-70.32376,LR
-0.07641602,-0.4370117,-0.1953125,-0.289397,-0.810397,0.2284887,-64.29067,8.68862,-113.8956,-64.36286,9.070272,-113.7614,-0.03271484,-0.9887695,0.3566895,0.5709161,0.04909158,0.5036107,-69.91691,1.624675,-70.0703,-70.08683,1.782655,-70.17356,LR
-0.07714844,-0.4362793,-0.2004395,-0.2741299,-0.8714657,0.5185649,-64.28468,8.684608,-113.8969,-63.78964,9.128575,-114.3425,-0.03540039,-0.9853516,0.3613281,0.5403817,0.1406947,0.6257481,-69.9061,1.632887,-70.05718,-69.77341,1.931873,-69.87397,LR
-0.07446289,-0.4396973,-0.2011719,-0.3504658,-0.810397,0.8086412,-64.28403,8.674097,-113.8927,-63.9941,8.754641,-114.2802,-0.02856445,-0.9807129,0.3569336,0.5403817,-0.05777865,0.4272748,-69.89888,1.630736,-70.04993,-69.94201,1.567785,-70.00867,LR
-0.07788086,-0.4338379,-0.1955566,-0.3351984,-0.7493282,0.4727633,-64.28563,8.67549,-113.8864,-64.11776,9.294515,-113.9253,-0.02539063,-0.9868164,0.3740234,0.479313,0.1406947,0.0,-69.87783,1.627754,-70.0339,-69.19859,1.37825,-69.24855,LR
-0.07885742,-0.4389648,-0.1928711,0.0,-0.4745191,0.5490992,-64.29205,8.681799,-113.8683,-64.60709,9.339745,-113.3863,-0.02563477,-0.9868164,0.362793,0.3724428,0.09489316,0.04559542,-69.87016,1.624528,-70.02896,-69.76831,1.396694,-69.82082,LR
-0.07958984,-0.4423828,-0.1972656,-0.2435954,-0.3371145,0.5338321,-64.29619,8.689832,-113.857,-64.31978,9.331203,-113.6952,-0.02978516,-0.9816895,0.3642578,0.38771,0.3239008,0.1524656,-69.85867,1.629387,-70.01916,-69.58018,1.629376,-69.65113,LR
-0.07666016,-0.442627,-0.2004395,-0.06038928,-0.4745191,0.3048244,-64.29384,8.688373,-113.8563,-64.13447,8.965699,-114.0463,-0.02978516,-0.9819336,0.3618164,0.4640458,0.4765725,0.0,-69.84886,1.636411,-70.0144,-69.70965,1.630337,-69.78104,LR
-0.07666016,-0.4387207,-0.2050781,0.03121376,-0.5661222,0.2895572,-64.27708,8.686184,-113.8694,-63.4791,8.995013,-114.7246,-0.02441406,-0.9841309,0.3547363,0.3266413,0.339168,0.2288015,-69.84978,1.635407,-70.01442,-70.13474,1.33692,-70.18359,LR
-0.07763672,-0.4370117,-0.1896973,-0.197794,-0.5355878,0.3658931,-64.2919,8.689701,-113.8495,-64.87223,9.255716,-113.1412,-0.03198242,-0.9853516,0.3596191,0.1892367,0.3239008,0.0,-69.84754,1.642389,-70.01332,-69.87688,1.746445,-69.95939,LR
-0.07055664,-0.4431152,-0.1923828,-0.09092379,-0.2760458,0.3811603,-64.31105,8.678043,-113.831,-65.18241,8.309696,-113.2076,-0.02783203,-0.9899902,0.3654785,0.1892367,0.4155039,0.0,-69.84147,1.645864,-70.00794,-69.68329,1.510746,-69.74452,LR
-0.07568359,-0.4377441,-0.2055664,-0.2435954,-0.382916,0.5490992,-64.29672,8.676744,-113.843,-63.41568,8.894504,-114.8318,-0.02929688,-0.9804688,0.354248,0.1892367,0.09489316,0.4272748,-69.84331,1.646536,-70.00436,-70.07248,1.609729,-70.14314,LR
-0.08325195,-0.4365234,-0.2004395,-0.8848166,-1.161542,0.5338321,-64.29593,8.68165,-113.8433,-63.56326,9.83271,-114.2774,-0.02294922,-0.9821777,0.3615723,0.4640458,-0.1646488,0.6562824,-69.83421,1.636146,-69.98988,-69.7523,1.256126,-69.79473,LR
-0.08276367,-0.4282227,-0.1955566,-0.5489388,-4.764596,-0.1531909,-64.29002,8.64207,-113.8515,-63.62387,9.971148,-114.1502,-0.02539063,-0.9858398,0.3642578,-0.131374,-0.1951832,0.6562824,-69.83285,1.628424,-69.97563,-69.67606,1.383936,-69.72741,LR
-0.08056641,-0.432373,-0.190918,-0.2130611,-0.6119237,-0.0005190372,-64.29521,8.653703,-113.8438,-64.39324,9.673521,-113.465,-0.0324707,-0.9821777,0.3669434,-0.05503809,-0.05777865,0.4578092,-69.82581,1.630483,-69.95988,-69.44086,1.773835,-69.52448,LR
-0.07348633,-0.4367676,-0.1904297,0.0922823,-0.3676488,-0.0005190372,-64.30689,8.650215,-113.8322,-64.95165,8.767578,-113.2655,-0.03051758,-0.9855957,0.3666992,0.1129008,-0.2257175,0.2746031,-69.81807,1.627579,-69.94839,-69.52715,1.662262,-69.60083,LR
