xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,Posture
-0.1135254,-0.2167969,1.101563,0.03656495,-0.4852595,0.09139694,-10.97895,5.867624,-12.51008,-11.07679,5.774052,-12.52536,0.002441406,0.1503906,-0.4492188,-0.1061909,-0.5203207,-0.1989923,17.99244,-0.5462968,-162.0353,18.50939,-0.2952793,-161.4881,LR
-0.1118164,-0.213623,1.089844,0.4182443,-0.866939,0.1371985,-10.9739,5.852514,-12.50737,-11.0336,5.749316,-12.4752,0.001953125,0.1489258,-0.447998,-0.02985501,-0.6577252,0.03001523,17.99994,-0.5491356,-162.0264,18.38794,-0.2370356,-161.6104,LR
-0.1135254,-0.2158203,1.086426,0.1434351,-0.3173206,0.2746031,-10.97598,5.848148,-12.50647,-11.17632,5.851906,-12.65084,0.0,0.1513672,-0.4477539,-0.07565641,-0.5050534,0.06054974,18.0124,-0.5455771,-162.0114,18.67828,-0.0,-161.3217,LR
-0.1206055,-0.2111816,1.096924,0.3266413,-0.4089237,0.01506107,-10.96833,5.848416,-12.50613,-10.83362,6.162135,-12.50059,0.009277344,0.1464844,-0.4453125,-0.02985501,-0.4134504,0.07581687,18.01581,-0.5634181,-162.0052,18.20479,-1.133742,-161.7574,LR
-0.1152344,-0.2092285,1.095215,0.2655725,0.2017633,-0.03074045,-10.96021,5.852422,-12.50253,-10.75742,5.900414,-12.30337,0.001708984,0.1472168,-0.4616699,-0.07565641,-0.4592519,-0.0005190372,18.0081,-0.5629422,-162.0114,17.68627,-0.2020686,-162.3125,LR
-0.1120605,-0.2043457,1.099854,0.2961069,0.171229,0.1219313,-10.94609,5.852298,-12.48996,-10.47217,5.72038,-11.96382,-0.004150391,0.1394043,-0.4609375,-0.2283282,-0.4287176,-0.04632068,17.98112,-0.5481095,-162.0352,16.82659,0.4938026,-163.1657,LR
-0.1132813,-0.2165527,1.090576,0.1587023,0.3697023,0.01506107,-10.94829,5.857036,-12.49256,-11.17239,5.817431,-12.63101,0.002929688,0.1411133,-0.4511719,-0.1214581,-0.642458,0.04528236,17.96706,-0.5536932,-162.0463,17.3678,-0.3550829,-162.6283,LR
-0.1147461,-0.2089844,1.094971,0.08236647,0.3849695,0.07612977,-10.94307,5.863095,-12.48726,-10.74796,5.877083,-12.28359,0.008300781,0.1499023,-0.4516602,-0.1519923,-0.2149771,-0.1531909,17.97264,-0.5657654,-162.0399,18.35769,-0.9992968,-161.6132,LR
-0.1147461,-0.2143555,1.096436,0.00603056,0.2780993,-0.01547329,-10.94418,5.867206,-12.4878,-11.00331,5.864247,-12.50307,-0.0009765625,0.1472168,-0.4501953,0.1380839,0.04456491,0.091084,17.97738,-0.5514324,-162.0356,18.10804,0.11813,-161.8915,LR
-0.1176758,-0.232666,1.085693,0.1434351,0.6597786,0.1371985,-10.96374,5.880555,-12.50611,-12.02726,6.049703,-13.50399,0.002441406,0.1503906,-0.4560547,0.3060229,0.319374,0.1063511,17.98734,-0.5415349,-162.0283,18.25047,-0.2912905,-161.747,LR
-0.1120605,-0.2116699,1.0979,0.08236647,0.2322977,0.0,-10.9604,5.880823,-12.50211,-10.8574,5.72321,-12.30608,0.004638672,0.1481934,-0.4470215,0.4586947,0.227771,0.091084,18.00114,-0.5386425,-162.0194,18.3401,-0.5643282,-161.6506,LR
-0.1147461,-0.2133789,1.103271,0.03656495,0.1254275,0.0,-10.95843,5.88166,-12.49977,-10.88886,5.830437,-12.38539,0.0004882813,0.152832,-0.4516602,0.3365571,-0.09283972,-0.0005190372,18.01996,-0.5304079,-162.0051,18.6947,-0.05867333,-161.3052,LR
-0.107666,-0.2141113,1.09375,0.1434351,-0.3020534,0.1524656,-10.95764,5.869944,-12.49472,-11.02413,5.517873,-12.35906,0.004150391,0.1540527,-0.4416504,0.2144198,-0.2607787,0.1216183,18.04728,-0.5338007,-161.9785,19.22857,-0.5083808,-160.7642,LR
-0.1118164,-0.2160645,1.097412,0.02129769,-0.439458,0.06086259,-10.95982,5.860264,-12.49392,-11.0823,5.708992,-12.49965,0.008056641,0.1479492,-0.4519043,0.1228168,-0.5813893,-0.2447939,18.05065,-0.5510848,-161.9795,18.12527,-0.9706856,-161.8469,LR
-0.1135254,-0.2131348,1.093018,0.1739695,-0.6226641,0.2898702,-10.95759,5.850323,-12.48895,-10.97642,5.820859,-12.45841,0.0009765625,0.1459961,-0.4482422,-0.06038928,-0.4592519,-0.1226563,18.04956,-0.5491879,-161.9809,18.04081,-0.1186902,-161.9588,LR
-0.1130371,-0.2226563,1.093994,0.2045038,-0.866939,0.2593359,-10.96433,5.836202,-12.49251,-11.44475,5.781461,-12.8576,0.0007324219,0.1477051,-0.4580078,0.06174803,-0.5355878,-0.4127328,18.04696,-0.5478214,-161.9898,17.87421,-0.08720182,-162.1256,LR
-0.1125488,-0.2126465,1.098877,0.2655725,-0.347855,-0.07654199,-10.95907,5.829207,-12.49078,-10.89645,5.742145,-12.3498,0.002197266,0.1413574,-0.4519043,0.01594663,-0.1691756,0.07581687,18.03365,-0.5446694,-162.0015,17.36969,-0.2658795,-162.6281,LR
-0.1154785,-0.2287598,1.089844,0.3724428,0.1101603,0.04559542,-10.97021,5.832649,-12.50493,-11.79023,5.920354,-13.23158,0.006591797,0.1455078,-0.4487305,-0.2283282,-0.5050534,-0.3974657,18.02712,-0.5611714,-162.0107,17.96428,-0.8005757,-162.0167,LR
-0.1135254,-0.215332,1.096191,0.1739695,0.171229,0.03032825,-10.968,5.835907,-12.50455,-11.05582,5.802557,-12.5202,0.001464844,0.1472168,-0.451416,-0.07565641,-0.550855,0.04528236,18.02671,-0.5615808,-162.0086,18.06221,-0.1767617,-161.9369,LR
-0.1115723,-0.2141113,1.110352,0.1587023,0.01855725,0.03032825,-10.96353,5.83216,-12.49936,-10.86111,5.634911,-12.26756,-0.001953125,0.1523438,-0.4384766,0.07701516,-0.0470382,-0.1226563,18.05049,-0.5462191,-161.987,19.15903,0.2410774,-160.8393,LR
-0.1115723,-0.213623,1.098145,0.3113741,-0.1493817,0.1219313,-10.95875,5.827228,-12.49515,-10.9533,5.695344,-12.37819,-0.002197266,0.1481934,-0.4506836,0.01594663,-0.07757253,-0.0310533,18.05375,-0.5311279,-161.9836,18.20165,0.2653606,-161.7963,LR
-0.1152344,-0.2119141,1.101563,0.2350382,-0.3631221,0.01506107,-10.95275,5.822649,-12.49206,-10.8316,5.865212,-12.3516,0.002929688,0.1491699,-0.4436035,-0.1672597,-0.4592519,0.1063511,18.06177,-0.5348796,-161.9705,18.5858,-0.3586582,-161.4105,LR
-0.119873,-0.21875,1.102051,0.1587023,-0.699,0.2593359,-10.95446,5.817034,-12.49322,-11.16274,6.089919,-12.75361,0.001708984,0.1425781,-0.4562988,-0.1519923,-0.6882596,0.1979542,18.04549,-0.5377213,-161.9813,17.35217,-0.2048238,-162.6465,LR
-0.1147461,-0.2041016,1.083008,0.1892367,-0.4699924,0.07612977,-10.94507,5.813128,-12.4863,-10.61462,5.944131,-12.19954,-0.0002441406,0.1455078,-0.4538574,-0.1672597,-0.7493282,0.07581687,18.03764,-0.537395,-161.985,17.77598,0.02934929,-162.224,LR
-0.1113281,-0.21875,1.0896,0.2045038,-0.3325878,0.3204046,-10.94906,5.806386,-12.48576,-11.29462,5.720497,-12.69488,0.004638672,0.145752,-0.4499512,-0.1214581,-0.3676488,0.03001523,18.03405,-0.5432899,-161.9858,17.94772,-0.5619137,-162.0429,LR
-0.1157227,-0.2199707,1.093262,0.4335115,0.171229,0.07612977,-10.95,5.811265,-12.4911,-11.31479,5.924443,-12.8085,0.0009765625,0.1469727,-0.4501953,-0.197794,-0.3218473,0.0147481,18.03206,-0.5395183,-161.9842,18.07997,-0.118149,-161.9196,LR
