xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,Posture
-0.3520508,-0.8652344,0.4709473,-1.993969,-0.347855,0.8547558,-55.90162,20.44746,-63.41495,-55.80107,19.66565,-63.24439,-0.1916504,-0.2529297,-0.3479004,0.0,0.7163206,-1.038687,-31.81944,25.57705,-137.449,-32.48851,24.01624,-137.6304,LR
-0.3532715,-0.8781738,0.4558105,-2.42145,-0.1341145,0.8242214,-55.95333,20.42952,-63.42028,-56.70769,19.64905,-64.2873,-0.1928711,-0.2504883,-0.3500977,0.0,0.7163206,-1.298229,-31.82454,25.55803,-137.4762,-32.07438,24.13417,-137.9179,LR
-0.3615723,-0.8754883,0.4650879,-2.482519,-0.3325878,0.7173512,-55.9896,20.41713,-63.41901,-56.06402,20.03818,-63.84867,-0.1982422,-0.2526855,-0.3405762,-0.9153514,0.487313,-1.679908,-31.86205,25.55894,-137.4981,-32.66872,25.05451,-136.6798,LR
-0.3579102,-0.8769531,0.4680176,-2.329847,-0.3936565,0.7784199,-56.04442,20.39595,-63.40718,-56.10459,19.80198,-63.7052,-0.1953125,-0.2580566,-0.3518066,0.0,0.05983204,-1.359298,-31.87827,25.53095,-137.5159,-32.67268,24.11579,-137.3883,LR
-0.3637695,-0.8911133,0.4836426,-2.009237,-0.08831299,0.9921603,-56.06944,20.38148,-63.39088,-55.81863,19.7371,-63.32118,-0.1977539,-0.2553711,-0.3505859,0.0,-0.6271908,-1.83258,-31.88855,25.50131,-137.5394,-32.39272,24.50985,-137.3463,LR
-0.3686523,-0.8952637,0.4807129,-2.177176,-0.3173206,1.328038,-56.09836,20.36798,-63.37545,-55.91503,19.94024,-63.59541,-0.197998,-0.2531738,-0.3491211,-0.9611526,-0.7493282,-1.679908,-31.90978,25.47348,-137.5607,-32.2434,24.66073,-137.3671,LR
-0.3740234,-0.8947754,0.4685059,-1.551221,-0.8822061,1.450176,-56.12276,20.35406,-63.37093,-56.17822,20.32042,-64.21508,-0.1960449,-0.2568359,-0.3527832,-0.8848166,-1.71116,-1.405099,-31.93315,25.42439,-137.579,-32.47142,24.19251,-137.514,LR
-0.3664551,-0.8862305,0.4606934,-0.4825191,-0.5310611,1.663916,-56.13505,20.34265,-63.3675,-56.40646,20.14747,-64.34102,-0.2026367,-0.2509766,-0.3469238,-0.7168779,-2.214977,-1.13029,-31.94487,25.38985,-137.5857,-31.99219,25.32547,-137.0834,LR
-0.3674316,-0.8869629,0.4741211,-0.1466411,-0.2104504,1.419641,-56.13312,20.33408,-63.35363,-55.9305,20.06917,-63.71768,-0.2058105,-0.2502441,-0.3500977,-0.4878702,-2.627191,-0.9928856,-31.94549,25.3572,-137.5919,-31.64121,25.55963,-137.2165,LR
-0.364502,-0.8823242,0.479248,0.0976336,-0.2104504,1.160099,-56.12291,20.32355,-63.3375,-55.6897,19.95197,-63.3427,-0.2036133,-0.2570801,-0.3513184,-0.3504658,-2.703527,-0.7028093,-31.9585,25.31165,-137.5899,-32.33839,25.06636,-136.9707,LR
-0.369873,-0.8933105,0.4814453,0.1739695,-0.3783893,1.037962,-56.11387,20.31204,-63.32607,-55.79879,20.02595,-63.52901,-0.206543,-0.2504883,-0.3635254,-0.3657329,-2.856199,-0.3516641,-31.94323,25.26488,-137.6079,-30.92606,25.07271,-138.2323,LR
-0.3725586,-0.8967285,0.473877,0.7541222,-0.179916,1.282237,-56.10231,20.30654,-63.32045,-56.09047,20.1697,-63.98721,-0.2041016,-0.2531738,-0.3527832,-0.2435954,-3.421084,-0.0005190372,-31.94466,25.21615,-137.6023,-31.84766,25.17514,-137.3298,LR
-0.375,-0.9003906,0.4628906,1.960229,0.3086336,1.786053,-56.08357,20.31114,-63.32177,-56.51004,20.32482,-64.61172,-0.2009277,-0.2578125,-0.348877,-0.1367252,-4.505054,0.3200917,-31.96046,25.14265,-137.5829,-32.6342,24.85266,-136.8659,LR
-0.3662109,-0.8840332,0.4692383,3.319008,1.346802,2.015061,-56.03406,20.32667,-63.30326,-56.04729,20.09758,-63.87749,-0.2009277,-0.2502441,-0.3408203,-0.1825268,-3.802763,0.7781069,-31.9702,25.09225,-137.5542,-32.31359,25.41723,-136.7219,LR
-0.3684082,-0.8728027,0.4702148,3.639618,1.988023,2.07613,-55.97211,20.35706,-63.27873,-55.61211,20.38515,-63.60308,-0.1950684,-0.2485352,-0.3286133,-0.9916873,-4.077573,1.312458,-32.00517,25.04116,-137.5077,-33.03839,25.3352,-136.1259,LR
-0.3679199,-0.8508301,0.4794922,3.425878,1.163595,2.106664,-55.89791,20.37873,-63.23724,-54.61214,20.64241,-62.64895,-0.1989746,-0.25,-0.3305664,0.0,-3.848565,1.449863,-32.0239,24.99667,-137.4557,-32.94135,25.64499,-135.9738,LR
-0.3535156,-0.8520508,0.4584961,2.189237,0.3544351,1.862389,-55.86386,20.37778,-63.21655,-55.80439,20.07033,-63.57138,-0.2009277,-0.2478027,-0.3398438,0.0,-2.672992,0.7170382,-32.02572,24.96814,-137.4322,-32.11522,25.53487,-136.8096,LR
-0.3598633,-0.8654785,0.46875,0.2655725,0.171229,1.877656,-55.85617,20.3744,-63.19322,-55.67444,20.08321,-63.43036,-0.1965332,-0.246582,-0.3369141,-0.9458857,-1.49742,0.3353589,-32.04419,24.95238,-137.4169,-32.3005,25.20768,-136.8961,LR
-0.3659668,-0.8674316,0.4580078,0.2655725,-0.2715191,1.847122,-55.85434,20.37239,-63.18517,-55.94684,20.45976,-64.05798,-0.1916504,-0.244873,-0.3417969,-0.1672597,-0.2455115,0.2437558,-32.04579,24.9398,-137.4191,-32.00118,24.50395,-137.7052,LR
-0.376709,-0.8725586,0.4716797,0.3571756,-0.5921298,1.251702,-55.83849,20.37216,-63.17516,-55.32396,20.79628,-63.60508,-0.1965332,-0.246582,-0.3354492,-0.2588627,-0.550855,0.701771,-32.05612,24.93886,-137.3965,-32.3846,25.27029,-136.7715,LR
-0.3723145,-0.8671875,0.4746094,0.3724428,-0.2104504,0.9310915,-55.82015,20.37457,-63.16492,-55.17741,20.63736,-63.30188,-0.2019043,-0.2436523,-0.3427734,-0.8390155,-0.5813893,0.7323053,-32.05706,24.94444,-137.3835,-31.48631,25.64561,-137.2879,LR
-0.3791504,-0.862793,0.4750977,0.219771,-0.7600687,0.5799466,-55.79722,20.37699,-63.15803,-54.83508,21.05387,-63.24632,-0.2009277,-0.2412109,-0.3505859,-0.8390155,-0.7798626,0.5643663,-32.04412,24.94035,-137.3913,-30.83447,25.27479,-138.157,LR
