xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,State_S2
-0.154541,0.2275391,1.092041,0.0,0.0,0.0,0.2331378,0.1577513,-0.2827462,11.6569,7.887572,-14.13732,-0.05053711,0.1264648,-0.4484863,1.893809,0.7621221,-0.7028093,0.6227981,0.2591692,-6.494089,15.6533,6.189785,-163.1084,Unknown
-0.1750488,0.2312012,1.088135,0.7541222,-0.4699924,0.5799466,0.4772511,0.3260787,-0.5664527,11.84758,8.942605,-14.92276,-0.05664063,0.1191406,-0.4489746,-2.640542,-0.3371145,0.5338321,0.8691103,0.388402,-9.629402,14.74983,6.952064,-163.626,Unknown
-0.168457,0.2272949,1.088623,0.0,-0.7753359,0.0,0.7008765,0.481189,-0.8464825,11.65854,8.613496,-14.56794,-0.05297852,0.1203613,-0.4594727,2.825107,0.01403052,-0.5348701,1.184989,0.5081285,-12.72524,14.58662,6.364431,-164.0284,Unknown
-0.1564941,0.2216797,1.086914,0.6930535,-0.7142672,-0.1223435,0.9253067,0.6216669,-1.111703,11.41301,8.030065,-14.0176,-0.06176758,0.1289063,-0.4501953,-1.480237,0.3651755,0.6559694,1.456277,0.6536139,-15.70878,15.83739,7.514002,-162.3849,Unknown
-0.1665039,0.2368164,1.09668,0.0,0.0,-0.3513512,1.147826,0.7780605,-1.390377,12.05132,8.44136,-14.78714,-0.05639648,0.1162109,-0.4604492,-0.6710763,0.2125039,-0.09212208,1.699224,0.7789087,-18.68245,14.06395,6.772582,-164.3293,Unknown
-0.1530762,0.2160645,1.083252,-0.3451145,-0.8058702,0.4272748,1.343574,0.9092409,-1.631431,11.17197,7.889907,-13.73625,-0.04638672,0.1257324,-0.4504395,0.0,-0.0470382,-0.1531909,1.9756,0.8759309,-21.57968,15.51808,5.664601,-163.431,Unknown
-0.1552734,0.2285156,1.102783,0.0,0.4918396,-0.09180916,1.548618,1.055286,-1.881446,11.59575,7.85002,-14.06468,-0.05712891,0.1164551,-0.4477539,-1.480237,-0.902,0.3353589,2.20366,0.98594,-24.42003,14.4666,7.039353,-163.8438,Unknown
-0.1486816,0.2282715,1.08667,0.1892367,0.0,0.6868168,1.755565,1.186712,-2.115195,11.75691,7.626583,-14.07371,-0.04931641,0.1330566,-0.4506836,1.02358,0.0,0.06054974,2.501753,1.086044,-27.18118,16.35596,5.991122,-162.5229,Unknown
-0.1674805,0.2316895,1.103027,-0.2687786,-0.4547252,0.442542,1.951138,1.325333,-2.356991,11.73178,8.451989,-14.53027,-0.05517578,0.1171875,-0.4492188,-1.144359,0.0,0.3811603,2.726346,1.199878,-29.91064,14.51644,6.777733,-163.9157,Unknown
-0.1645508,0.2219238,1.094238,0.479313,0.003290057,0.4730763,2.145503,1.466548,-2.586758,11.34057,8.383832,-14.16992,-0.05078125,0.121582,-0.4477539,0.7335038,0.7010534,-0.3821983,2.984588,1.311109,-32.59008,15.09932,6.246162,-163.6024,Unknown
