xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,State_S2
-0.09521484,-0.2236328,1.146729,0.0,0.0,0.0,-0.2199656,0.09318203,-0.2393438,-10.99829,4.659106,-11.9672,0.0009765625,0.1376953,-0.4433594,0.1075497,2.838458,-0.2447939,0.6813112,0.03854577,-6.452183,17.25333,-0.1205232,-162.7462,Unknown
-0.1020508,-0.1911621,1.03125,-0.6809924,-2.286786,0.0,-0.4352794,0.16661,-0.4718946,-10.45176,5.557428,-11.8669,0.001708984,0.1462402,-0.4880371,0.0,-7.176809,0.0,1.0013,-0.07156806,-9.589494,16.68074,-0.1921918,-163.3181,Unknown
-0.1210938,-0.2111816,1.130371,1.731221,1.346802,0.4120076,-0.6115936,0.3033036,-0.6994717,-10.52344,6.011401,-12.15359,-0.002929688,0.1428223,-0.440918,0.489229,5.601817,0.03001523,1.347422,0.01945342,-12.63823,17.94782,0.3621714,-162.0483,Unknown
-0.09350586,-0.2062988,1.066406,-2.726794,2.308634,0.0,-0.8576036,0.4295803,-0.9253061,-10.90792,4.920296,-11.99121,0.003417969,0.1503906,-0.4543457,0.0,1.464412,-0.0310533,1.686759,0.03240752,-15.61954,18.31431,-0.4091859,-161.6808,Unknown
-0.1105957,-0.2233887,1.108643,1.181603,0.2170305,0.04559542,-1.049834,0.5358853,-1.159563,-11.3376,5.585325,-12.67163,0.001708984,0.1430664,-0.4570313,-0.6100078,-3.298947,0.3200917,1.991692,-0.02082438,-18.55479,17.38179,-0.2044625,-162.6169,Unknown
-0.1115723,-0.2104492,1.092773,0.4182443,-0.1493817,-0.1376107,-1.239603,0.6374761,-1.384327,-10.84568,5.725219,-12.29663,0.003417969,0.1506348,-0.4567871,0.04648089,0.6705191,0.2437558,2.317552,-0.01869423,-21.415,18.25054,-0.4071487,-161.7446,Unknown
-0.1154785,-0.2106934,1.085205,1.853359,-0.4241909,0.1524656,-1.406109,0.7377617,-1.604077,-10.92713,5.963552,-12.48391,0.002197266,0.1452637,-0.4487305,-0.5489388,0.4720459,-0.07685494,2.621886,-0.0167196,-24.22903,17.93768,-0.2669166,-162.0602,Unknown
-0.1130371,-0.2114258,1.090088,-1.429084,0.7513816,0.06086259,-1.617379,0.8503036,-1.819175,-10.91927,5.812594,-12.40375,-0.004150391,0.1499023,-0.4641113,-0.06038928,0.0,0.1216183,2.926543,-0.006633926,-26.98453,17.89916,0.4875636,-162.0938,Unknown
-0.1154785,-0.2180176,1.094971,0.2808397,0.171229,0.3051374,-1.804909,0.9539191,-2.032256,-11.20026,5.905238,-12.69751,0.004638672,0.145752,-0.4343262,0.07701516,0.578916,-0.04632068,3.24014,-0.009593451,-29.67433,18.54983,-0.5801135,-161.4404,Unknown
-0.112793,-0.220459,1.101563,0.5556489,-0.05777865,0.3051374,-1.98584,1.04866,-2.240521,-11.2599,5.733433,-12.66979,0.004882813,0.1467285,-0.4592285,0.9167099,1.067466,-0.1073892,3.543179,-0.005315524,-32.32786,17.71831,-0.5802845,-162.2715,Unknown
