xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,State_S2
-0.4362793,-0.8029785,0.5529785,0.0,0.0,0.0,-0.9748634,0.482152,-1.176427,-48.74322,24.10762,-58.82139,-0.2253418,-0.2438965,-0.3405762,-0.7779465,0.4262443,-0.2753282,-1.228825,1.134026,-5.375723,-30.84712,28.27742,-135.7253,Unknown
-0.442627,-0.807373,0.5507813,-0.8641985,-0.1188473,0.1219313,-1.944235,0.9580631,-2.333355,-48.80824,24.36507,-59.1125,-0.2280273,-0.2441406,-0.3388672,0.0,0.5636489,-0.5196033,-1.821609,1.692296,-7.984015,-30.8681,28.63325,-135.4086,Unknown
-0.4418945,-0.8156738,0.5473633,-0.3145801,0.6597786,0.702084,-2.894451,1.433016,-3.465525,-49.22398,24.22074,-59.45798,-0.2150879,-0.2390137,-0.3410645,0.0,1.113267,-0.3363969,-2.398332,2.220003,-10.5627,-30.65776,27.31395,-136.6875,Unknown
-0.4487305,-0.8100586,0.543457,-0.8489313,0.7361145,0.9768932,-3.827727,1.908517,-4.57467,-48.97586,24.70314,-59.59303,-0.2165527,-0.2397461,-0.3366699,-0.6252747,1.556015,-0.4890685,-2.977915,2.75152,-13.08225,-30.91793,27.6522,-136.1811,Unknown
-0.4384766,-0.800293,0.5415039,-0.4672519,0.03382444,0.8394885,-4.737155,2.358995,-5.657134,-48.95575,24.40752,-59.315,-0.2216797,-0.2368164,-0.3422852,-0.06038928,1.174336,-0.6722746,-3.522073,3.273396,-15.56059,-30.14445,28.03972,-136.5383,Unknown
-0.4423828,-0.8000488,0.5498047,-0.7573281,-0.7600687,0.793687,-5.624524,2.791372,-6.712648,-48.58612,24.49925,-58.97736,-0.2180176,-0.2436523,-0.3349609,0.01594663,0.4415114,-0.4127328,-4.078763,3.769623,-17.96931,-31.36835,27.76019,-135.6932,Unknown
-0.4440918,-0.7971191,0.5463867,-0.5893893,0.0,0.9768932,-6.491611,3.229148,-7.745775,-48.54568,24.6802,-59.08706,-0.2297363,-0.2397461,-0.3325195,-0.3504658,-0.4134504,-0.4432673,-4.61586,4.273494,-20.31724,-30.67604,29.26715,-135.0405,Unknown
-0.4462891,-0.8000488,0.5578613,-0.6657251,0.0,0.702084,-7.336294,3.656317,-8.753755,-48.23644,24.58755,-58.66076,-0.2226563,-0.2431641,-0.3352051,-0.9458857,-1.253145,-0.3058627,-5.159379,4.736139,-22.62457,-31.14294,28.26549,-135.474,Unknown
-0.4455566,-0.8122559,0.5471191,-0.6962595,-0.8822061,0.7326183,-8.179516,4.060356,-9.757338,-49.01974,24.46354,-59.43541,-0.2331543,-0.2424316,-0.3417969,-0.7626796,-1.818031,0.182687,-5.674011,5.198301,-24.87877,-30.36786,29.09135,-135.4598,Unknown
-0.4362793,-0.8083496,0.5537109,-0.2077099,-0.699,0.4730763,-8.99696,4.449597,-10.73407,-48.90934,24.00197,-58.91853,-0.2336426,-0.2419434,-0.3393555,-0.4878702,-1.543221,0.5338321,-6.176157,5.657149,-27.07846,-30.42269,29.27502,-135.2556,Unknown
-0.4365234,-0.8056641,0.5627441,-0.03977096,-0.2257175,0.2593359,-9.788073,4.836295,-11.68447,-48.52346,23.95035,-58.44453,-0.234375,-0.2424316,-0.3361816,-0.3504658,-0.642458,0.6407022,-6.669923,6.1243,-29.22573,-30.60691,29.48693,-134.9132,Unknown
-0.439209,-0.8059082,0.5634766,0.5861833,0.2780993,0.2746031,-10.55256,5.225007,-12.6158,-48.44331,24.06754,-58.453,-0.2258301,-0.2397461,-0.3334961,-0.2435954,0.02929771,0.0,-7.155133,6.57828,-31.34837,-30.76331,28.80324,-135.3576,Unknown
-0.4470215,-0.7956543,0.5505371,0.8457253,1.071992,0.2746031,-11.29569,5.631165,-13.53771,-48.28933,24.79754,-58.89985,-0.2287598,-0.2429199,-0.3374023,-0.6863437,0.7163206,0.8849771,-7.637947,7.033661,-33.41475,-30.79139,28.82092,-135.3179,Unknown
-0.4436035,-0.7966309,0.5566406,0.2350382,1.606344,0.2288015,-12.03071,6.032848,-14.43553,-48.21954,24.53471,-58.59694,-0.2207031,-0.2419434,-0.3398438,-0.3962674,0.0,0.0,-8.107423,7.450608,-35.46767,-30.83999,27.88104,-136.061,Unknown
-0.4465332,-0.7966309,0.5322266,-0.2840458,1.209397,0.1219313,-12.77216,6.428568,-15.34048,-48.90858,24.98923,-59.7669,-0.2253418,-0.2368164,-0.3359375,0.01594663,0.0,0.4116948,-8.551978,7.876272,-37.46831,-30.34607,28.73387,-135.7815,Unknown
-0.4470215,-0.7841797,0.5517578,-0.650458,0.7361145,0.01506107,-13.48239,6.810004,-16.20474,-47.8375,24.99543,-58.56387,-0.2185059,-0.2385254,-0.3359375,-0.1825268,0.7010534,-0.1837251,-8.998844,8.287833,-39.44328,-30.76114,27.93912,-136.0823,Unknown
-0.4440918,-0.7993164,0.552002,-0.8947329,0.1406947,-0.2292137,-14.19486,7.167239,-17.06165,-48.44816,24.56836,-58.88155,-0.2194824,-0.2370605,-0.3342285,-0.09092379,0.02929771,0.06054974,-9.433365,8.685977,-41.37305,-30.66249,28.1749,-135.9731,Unknown
-0.4440918,-0.798584,0.5517578,-0.9252671,-0.2409847,-0.2444809,-14.89225,7.512287,-17.90127,-48.42972,24.58491,-58.87502,-0.2231445,-0.2429199,-0.3364258,-0.04512215,-0.4439847,0.2742901,-9.866138,9.070677,-43.25259,-31.03658,28.26908,-135.5651,Unknown
-0.4433594,-0.7880859,0.5541992,-0.6962595,-0.05777865,-0.4429542,-15.56522,7.855357,-18.72012,-47.99496,24.71112,-58.49625,-0.2333984,-0.2363281,-0.3300781,-0.2741299,-1.100473,0.9918472,-10.27878,9.472084,-45.07034,-30.3103,29.89594,-134.8204,Unknown
-0.4401855,-0.7978516,0.5524902,-0.5130534,0.4613054,-0.5192901,-16.23053,8.192539,-19.52826,-48.47881,24.39807,-58.77089,-0.2277832,-0.2402344,-0.3337402,-0.2130611,-1.283679,1.495664,-10.69101,9.84344,-46.85157,-30.7334,28.98346,-135.2314,Unknown
-0.439209,-0.800293,0.5539551,-0.4825191,0.7361145,-0.6872291,-16.8839,8.525257,-20.32279,-48.54399,24.28738,-58.75009,-0.2297363,-0.2390137,-0.3349609,0.3976259,-0.3523817,1.159786,-11.08084,10.22488,-48.60339,-30.47472,29.17461,-135.2957,Unknown
-0.4350586,-0.8007813,0.552002,-0.4367175,0.0,-1.038374,-17.52718,8.836744,-21.10753,-48.72686,24.09962,-58.79634,-0.2250977,-0.2402344,-0.331543,0.672435,0.487313,1.220855,-11.46883,10.6031,-50.31861,-30.94194,28.80122,-135.202,Unknown
-0.442627,-0.8012695,0.5439453,-0.8489313,0.0,-1.297916,-18.16442,9.151258,-21.88879,-48.80718,24.56245,-59.28046,-0.223877,-0.2316895,-0.3317871,0.0,0.0,1.037649,-11.84075,10.97009,-52.01382,-30.06464,28.95247,-135.8415,Unknown
