xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,State_S2
-0.4853516,-0.8671875,0.3132324,0.0,0.0,0.0,-1.126631,0.5552439,-1.450106,-56.33162,27.76222,-72.50536,-0.107666,-0.2548828,-0.3884277,-0.1367252,0.7621221,-0.5043359,-1.283938,0.5114841,-5.736011,-32.30716,13.04771,-144.5365,Unknown
-0.4899902,-0.8718262,0.3063965,-0.1924427,0.09489316,-0.2444809,-2.236147,1.104216,-2.884027,-56.4611,27.93412,-72.96649,-0.1086426,-0.2546387,-0.3952637,-0.3962674,-0.01650381,-0.7028093,-1.900656,0.7612404,-8.530774,-31.84802,13.01061,-144.9922,Unknown
-0.4829102,-0.8742676,0.2978516,0.1129008,0.03382444,0.07612977,-3.330222,1.63465,-4.293187,-57.01743,27.6028,-73.39449,-0.1071777,-0.2553711,-0.3864746,-0.5642061,-0.291313,0.04528236,-2.520666,1.002282,-11.24697,-32.48651,13.02746,-144.3744,Unknown
-0.4848633,-0.8811035,0.3063965,0.6014504,0.430771,-0.0002061129,-4.393528,2.157562,-5.668448,-56.93761,27.46368,-73.05615,-0.1052246,-0.2531738,-0.392334,-0.3199313,-0.5203207,0.5949008,-3.11364,1.228582,-13.91436,-31.93423,12.69971,-145.0535,Unknown
-0.4797363,-0.8769531,0.3068848,0.7083206,0.5681756,0.3051374,-5.435249,2.66895,-7.009254,-57.0002,27.30938,-72.93307,-0.1066895,-0.2536621,-0.3908691,-0.2130611,-0.3981832,0.442229,-3.695485,1.456085,-16.52663,-32.04929,12.89641,-144.8531,Unknown
-0.486084,-0.8674316,0.3083496,0.8304581,0.3849695,0.0,-6.442961,3.177914,-8.324491,-56.43135,27.83422,-72.77111,-0.1049805,-0.2565918,-0.387207,-0.2283282,-0.3676488,0.7781069,-4.276752,1.676621,-19.07338,-32.60229,12.73507,-144.3977,Unknown
-0.4873047,-0.8740234,0.3068848,-2.818397,0.4918396,0.2746031,-7.485159,3.676041,-9.613247,-56.6195,27.74693,-72.95065,-0.1071777,-0.2514648,-0.3911133,-0.5031376,-0.7187939,0.9613131,-4.834662,1.892122,-21.57878,-31.80245,12.98002,-145.0499,Unknown
-0.4863281,-0.8723145,0.3061523,1.257939,0.5529084,0.0,-8.449436,4.165586,-10.88013,-56.62365,27.7469,-72.9574,-0.1037598,-0.2521973,-0.3869629,-0.5642061,-1.268412,1.190321,-5.389516,2.090093,-24.02739,-32.19033,12.6608,-144.8262,Unknown
-0.4863281,-0.8833008,0.2854004,1.486947,0.262832,0.06086259,-9.408974,4.638891,-12.14561,-57.4464,27.65056,-74.19627,-0.1022949,-0.2595215,-0.3928223,-0.8848166,-1.802763,1.816275,-5.946577,2.266959,-26.41254,-32.59227,12.25841,-144.6203,Unknown
-0.4812012,-0.8869629,0.2893066,2.036565,0.262832,-0.1376107,-10.34416,5.095655,-13.38477,-57.66497,27.2839,-74.00234,-0.09301758,-0.2570801,-0.3903809,-0.8084807,-2.291313,2.350626,-6.491611,2.415279,-28.75196,-32.64373,11.2548,-144.9958,Unknown
-0.4919434,-0.8859863,0.2983398,2.922061,0.5071069,0.2440687,-11.2372,5.555781,-14.58564,-57.00124,27.7541,-73.59584,-0.09912109,-0.2661133,-0.3930664,-0.8542824,-2.611924,3.327725,-7.040008,2.564476,-31.01107,-33.28359,11.79492,-144.1535,Unknown
-0.4863281,-0.880127,0.3056641,3.548015,0.1406947,0.3814733,-12.0977,5.998009,-15.75016,-56.8698,27.56377,-73.092,-0.104248,-0.2626953,-0.3840332,-0.8848166,-3.543221,3.297191,-7.579964,2.717147,-33.21859,-33.4309,12.62867,-143.6493,Unknown
-0.4787598,-0.8703613,0.324707,3.883893,-0.3631221,0.4730763,-12.93026,6.418374,-16.86663,-56.39,27.26534,-71.89839,-0.1096191,-0.2519531,-0.3830566,-1.480237,-3.955435,2.991847,-8.096276,2.873584,-35.3972,-32.30764,13.44629,-144.3481,Unknown
-0.4724121,-0.8674316,0.3168945,3.624351,-0.6837328,0.442542,-13.75324,6.821788,-17.96704,-56.74347,27.0917,-72.21214,-0.1206055,-0.2463379,-0.3820801,-1.861916,-4.214977,2.426962,-8.591581,3.055444,-37.5425,-31.58426,14.85808,-144.3272,Unknown
-0.4748535,-0.8649902,0.3232422,3.151069,-0.607397,0.06086259,-14.56319,7.221297,-19.04411,-56.41226,27.21389,-71.86226,-0.1149902,-0.25,-0.3850098,-1.373366,-3.161542,2.320092,-9.077717,3.229117,-39.64645,-31.88892,14.06281,-144.4455,Unknown
