xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,Posture
-0.5598145,-0.7922363,0.4316406,0.05183208,0.171229,-0.0002061129,-48.22946,31.768,-66.39169,-48.25802,31.81977,-66.01288,-0.201416,-0.1821289,-0.3779297,0.03121376,0.2735725,0.091084,-22.76684,25.32878,-144.4704,-23.03932,25.64585,-144.302,UP
-0.5532227,-0.786377,0.4365234,-0.131374,0.171229,-0.04600763,-48.22951,31.76706,-66.37616,-48.13519,31.59542,-65.58138,-0.2001953,-0.1855469,-0.3803711,0.3670917,0.3651755,-0.09212208,-22.77307,25.33389,-144.4691,-23.34828,25.31583,-144.3365,UP
-0.5515137,-0.7858887,0.4309082,-0.03977096,0.2322977,-0.04600763,-48.23176,31.76725,-66.36588,-48.31256,31.60573,-65.82865,-0.2021484,-0.1804199,-0.3774414,0.4281602,0.6399847,-0.168458,-22.76831,25.35243,-144.4687,-22.84951,25.79024,-144.3267,UP
-0.5488281,-0.7844238,0.4316406,-0.1924427,0.430771,0.2746031,-48.2365,31.76839,-66.34915,-48.32711,31.50757,-65.73096,-0.204834,-0.1843262,-0.3728027,0.229687,0.6552519,-0.2142596,-22.77836,25.3788,-144.4529,-23.42864,26.22157,-143.5298,UP
-0.5402832,-0.7783203,0.4384766,0.00603056,0.339168,-0.168145,-48.23575,31.76099,-66.3278,-48.20315,31.16533,-65.16579,-0.2043457,-0.1828613,-0.3657227,0.0922823,0.7926565,-0.4432673,-22.79305,25.41396,-144.4331,-23.58061,26.5539,-143.1375,UP
-0.5476074,-0.7866211,0.4257813,-0.3298473,0.5834427,-0.09180916,-48.24775,31.76386,-66.32355,-48.59345,31.47579,-66.04756,-0.2001953,-0.1760254,-0.3774414,-0.289397,0.7010534,-0.2142596,-22.78928,25.42945,-144.4429,-22.39161,25.67341,-144.7675,UP
-0.5505371,-0.7885742,0.4326172,-0.3298473,0.59871,-0.0002061129,-48.2556,31.76678,-66.31268,-48.39802,31.4701,-65.78043,-0.2172852,-0.1816406,-0.3789063,0.07701516,0.7315878,-0.0310533,-22.78396,25.47849,-144.419,-22.5803,27.34377,-143.2244,UP
-0.5578613,-0.7927246,0.432373,-0.390916,0.4918396,-0.1986794,-48.26263,31.77284,-66.30857,-48.31977,31.70801,-65.96081,-0.2026367,-0.1879883,-0.3754883,0.229687,0.6552519,-0.0310533,-22.80046,25.49376,-144.4039,-23.77767,25.76022,-143.6422,UP
-0.5549316,-0.7961426,0.4313965,-0.2535114,0.06435877,-0.06127481,-48.2723,31.76836,-66.30397,-48.55976,31.50162,-66.03352,-0.2033691,-0.1879883,-0.3718262,0.1533511,0.3499084,0.350626,-22.82061,25.50937,-144.3771,-23.92058,26.01745,-143.3204,UP
-0.5512695,-0.7861328,0.4245605,-0.08557248,0.3239008,-0.07654199,-48.27787,31.77125,-66.30193,-48.48785,31.67504,-66.14604,-0.2055664,-0.185791,-0.3798828,0.1991527,0.04456491,0.1063511,-22.82695,25.5183,-144.366,-23.27427,25.92476,-143.8932,UP
-0.5473633,-0.7905273,0.4279785,0.1587023,0.06435877,0.2593359,-48.28388,31.76345,-66.29246,-48.68679,31.33708,-66.00608,-0.2028809,-0.1867676,-0.387207,0.1686182,0.3041069,0.4880307,-22.83062,25.51768,-144.3623,-23.13462,25.26398,-144.5425,UP
-0.5478516,-0.7878418,0.4274902,0.1434351,0.4460382,0.07612977,-48.28783,31.76341,-66.28523,-48.58665,31.4334,-65.98765,-0.2050781,-0.1828613,-0.3757324,0.2907557,0.7315878,0.2742901,-22.83237,25.54089,-144.3475,-23.1317,26.14057,-143.8229,UP
-0.5537109,-0.7895508,0.4294434,0.1129008,0.2780993,-0.1070763,-48.28863,31.76494,-66.28102,-48.41095,31.63585,-65.99585,-0.1989746,-0.1816406,-0.3759766,0.32129,0.5331145,-0.06158781,-22.83377,25.54697,-144.3489,-23.1228,25.47891,-144.3756,UP
-0.5551758,-0.7893066,0.4277344,-0.07030535,0.04909158,-0.336084,-48.29177,31.76498,-66.28191,-48.39753,31.73287,-66.09477,-0.2038574,-0.1838379,-0.3764648,0.3670917,0.6094504,0.182687,-22.83649,25.56392,-144.3373,-23.23922,25.94696,-143.9016,UP
-0.5500488,-0.7844238,0.4404297,0.08236647,0.5529084,-0.2597481,-48.28606,31.76666,-66.26631,-48.06655,31.44286,-65.31123,-0.2023926,-0.1833496,-0.3845215,0.2907557,0.227771,0.1674199,-22.83302,25.56424,-144.3404,-22.8771,25.41252,-144.617,UP
-0.5522461,-0.7888184,0.4370117,0.00603056,0.3239008,-0.3055496,-48.2851,31.76575,-66.25727,-48.24218,31.48302,-65.58949,-0.2036133,-0.1870117,-0.3850098,0.6419008,0.2735725,0.1063511,-22.83169,25.56579,-144.3384,-23.2379,25.4406,-144.3191,UP
-0.5527344,-0.7893066,0.4274902,-0.1924427,-0.04251146,-0.336084,-48.29187,31.76228,-66.25858,-48.48214,31.62334,-66.07602,-0.199707,-0.1843262,-0.3752441,0.4281602,0.1972366,-0.1989923,-22.83804,25.56785,-144.3361,-23.44297,25.53313,-144.0861,UP
-0.5541992,-0.7868652,0.4326172,-0.1924427,-0.2867863,-0.4124198,-48.29306,31.75674,-66.25499,-48.21935,31.68216,-65.7961,-0.2163086,-0.1833496,-0.3837891,0.3365571,0.1667023,-0.260061,-22.82825,25.59806,-144.324,-22.59631,26.95601,-143.5414,UP
-0.5488281,-0.7871094,0.4289551,-0.1466411,-0.1493817,-0.1376107,-48.29919,31.74895,-66.25019,-48.49191,31.47722,-65.91376,-0.2006836,-0.1833496,-0.3789063,0.4434273,0.1667023,-0.1837251,-22.82865,25.59818,-144.3269,-23.1524,25.48974,-144.3442,UP
-0.5439453,-0.7883301,0.4316406,-0.07030535,-0.3020534,-0.336084,-48.30667,31.73349,-66.24461,-48.62484,31.18293,-65.74042,-0.2041016,-0.1826172,-0.3840332,0.3976259,-0.001236677,-0.3211298,-22.82179,25.59899,-144.3352,-22.77778,25.63942,-144.5054,UP
-0.5490723,-0.7937012,0.4287109,-0.3756489,-0.4089237,-0.2902825,-48.3206,31.71936,-66.24496,-48.72722,31.32767,-66.04881,-0.1999512,-0.185791,-0.380127,0.1686182,0.319374,-0.3058627,-22.83071,25.5976,-144.3394,-23.39173,25.29469,-144.3203,UP
-0.548584,-0.7932129,0.423584,-0.6351909,-0.2562519,-0.2444809,-48.34061,31.70892,-66.24943,-48.85402,31.38575,-66.28867,-0.2011719,-0.1831055,-0.3779297,0.3670917,0.1056336,-0.06158781,-22.83217,25.59902,-144.3386,-23.15543,25.59615,-144.2545,UP
-0.5454102,-0.7922363,0.4311523,-0.08557248,0.003290057,-0.09180916,-48.34958,31.69801,-66.2428,-48.73072,31.16113,-65.85503,-0.2038574,-0.1865234,-0.376709,-0.01458788,0.1514351,0.1521528,-22.84637,25.6067,-144.3244,-23.53147,25.87161,-143.7403,UP
-0.5561523,-0.7890625,0.4304199,-0.02450383,-0.08831299,0.06086259,-48.34877,31.6977,-66.23643,-48.29087,31.74744,-65.96965,-0.2009277,-0.185791,-0.3793945,0.1686182,0.4720459,-0.0310533,-22.85499,25.61024,-144.3223,-23.40106,25.43727,-144.1967,UP
-0.5515137,-0.7900391,0.4262695,-0.2687786,0.1559618,-0.1070763,-48.35731,31.69734,-66.23598,-48.57827,31.56499,-66.13451,-0.2009277,-0.1855469,-0.3720703,-0.06038928,0.7621221,0.1368854,-22.87261,25.6251,-144.3074,-23.69154,25.79297,-143.6818,UP
-0.5561523,-0.7910156,0.4299316,-0.131374,0.1406947,-0.04600763,-48.35956,31.69956,-66.23251,-48.37331,31.70522,-66.02901,-0.2021484,-0.1813965,-0.3852539,0.0922823,0.7163206,-0.2142596,-22.86646,25.63103,-144.3208,-22.6331,25.39482,-144.8162,UP
-0.5537109,-0.7932129,0.4140625,-0.3756489,0.339168,-0.09180916,-48.37634,31.70556,-66.24577,-48.92284,31.75015,-66.82742,-0.201416,-0.1777344,-0.3762207,-0.01458788,0.7010534,0.03001523,-22.86157,25.64531,-144.3234,-22.61121,25.83012,-144.4731,UP
-0.5541992,-0.7895508,0.4279785,-0.07030535,0.339168,0.1524656,-48.37848,31.71,-66.2401,-48.43167,31.67833,-66.0747,-0.199707,-0.1804199,-0.3781738,0.1075497,0.2583054,0.350626,-22.86033,25.64562,-144.3233,-22.87347,25.4834,-144.5616,UP
-0.5561523,-0.7912598,0.425293,0.1892367,0.2475649,0.09139694,-48.37825,31.71444,-66.23931,-48.49672,31.76196,-66.26327,-0.2011719,-0.1804199,-0.3823242,0.6113663,0.3346412,0.2742901,-22.84746,25.64658,-144.3278,-22.66632,25.44779,-144.7475,UP
-0.5546875,-0.7873535,0.4370117,0.2655725,-0.08831299,-0.336084,-48.36902,31.71149,-66.23135,-48.1119,31.63205,-65.59407,-0.2053223,-0.184082,-0.380127,0.5044961,-0.3065802,0.3964274,-22.84466,25.64767,-144.3162,-23.07798,25.92615,-144.0413,UP
-0.5583496,-0.7893066,0.4313965,-0.009236574,-0.3631221,-0.5803587,-48.36588,31.7085,-66.23434,-48.20531,31.82913,-65.95371,-0.2023926,-0.1901855,-0.3735352,0.580832,-0.3676488,0.3200917,-22.86155,25.64478,-144.2926,-24.11621,25.77345,-143.3687,UP
-0.5554199,-0.7885742,0.4294434,-0.02450383,-0.4089237,-0.4124198,-48.36534,31.70311,-66.23572,-48.32092,31.73923,-65.99992,-0.2050781,-0.201416,-0.3796387,-0.06038928,-0.3523817,0.1674199,-22.90561,25.63725,-144.2618,-25.02284,25.5101,-142.8685,UP
-0.5466309,-0.7878418,0.4350586,0.1587023,0.003290057,-0.03074045,-48.36455,31.69456,-66.22334,-48.43461,31.2736,-65.59605,-0.2050781,-0.1828613,-0.3708496,-0.3046641,-0.291313,0.2132213,-22.91878,25.64783,-144.2427,-23.3404,26.38039,-143.4651,UP
-0.5534668,-0.7958984,0.4279785,-0.05503809,-0.179916,0.1371985,-48.37172,31.68775,-66.22045,-48.68283,31.48603,-66.1796,-0.2023926,-0.1821289,-0.3762207,-0.1825268,-0.01650381,-0.1073892,-22.92488,25.65137,-144.2415,-23.08981,25.83664,-144.1063,UP
-0.546875,-0.7902832,0.4362793,-0.03977096,-0.2104504,-0.06127481,-48.37455,31.67506,-66.20862,-48.48389,31.20807,-65.58383,-0.2023926,-0.1865234,-0.3842773,0.1228168,0.5025801,0.091084,-22.92942,25.65277,-144.2431,-23.24174,25.35239,-144.3883,UP
