xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,Posture
-0.3444824,-0.5981445,0.8586426,0.128168,-0.3783893,0.7784199,-32.76507,18.23228,-38.60704,-32.8837,18.22121,-38.79528,-0.3415527,-0.1767578,-0.2702637,-0.4573359,-0.123374,0.3658931,-21.71119,47.31348,-124.6403,-22.08879,46.60508,-125.0976,S_LF
-0.3479004,-0.6020508,0.8666992,0.3266413,-0.9127405,0.6868168,-32.76113,18.21914,-38.5996,-32.80788,18.24601,-38.73962,-0.3425293,-0.1757813,-0.267334,-0.4573359,-0.2607787,0.1368854,-21.72421,47.30242,-124.6409,-22.02609,46.95227,-124.7751,S_LF
-0.3447266,-0.5986328,0.8596191,0.647252,0.0,0.7631527,-32.75393,18.21907,-38.5921,-32.87687,18.21571,-38.78556,-0.3449707,-0.170166,-0.2578125,-0.6252747,-0.1844428,0.182687,-21.72952,47.31698,-124.6222,-21.56017,48.15684,-123.8316,S_LF
-0.3388672,-0.5893555,0.8630371,0.7999237,0.0,0.5188779,-32.73671,18.214,-38.57771,-32.44178,17.96544,-38.2282,-0.345459,-0.1757813,-0.2612305,-0.7779465,-0.3676488,0.1063511,-21.7474,47.31865,-124.6079,-22.09023,47.65265,-123.9781,S_LF
-0.3432617,-0.5908203,0.8649902,0.6319848,-0.6684657,0.5036107,-32.72151,18.20342,-38.56538,-32.41039,18.14361,-38.30696,-0.3432617,-0.1728516,-0.2585449,-0.8848166,-0.1081069,-0.01578617,-21.76369,47.32714,-124.5946,-21.91128,47.82266,-123.9296,S_LF
-0.3430176,-0.5852051,0.8586426,0.1892367,-0.3325878,0.3967404,-32.7109,18.19983,-38.55442,-32.33021,18.26856,-38.30867,-0.3474121,-0.1694336,-0.270752,-0.6252747,0.4109771,-0.07685494,-21.76271,47.33757,-124.6046,-21.04061,47.4058,-125.0102,S_LF
-0.3474121,-0.5957031,0.854248,-0.3298473,-0.07304579,0.4578092,-32.72102,18.20322,-38.55172,-32.86106,18.44806,-38.91281,-0.3510742,-0.1774902,-0.2744141,-0.3504658,0.9605954,-0.4890685,-21.76697,47.34594,-124.6176,-21.71841,47.04982,-124.8982,S_LF
-0.3415527,-0.5969238,0.864502,-0.3145801,-0.2562519,0.5036107,-32.72538,18.19559,-38.54335,-32.70775,18.01008,-38.50312,-0.3427734,-0.1708984,-0.2739258,-0.1825268,0.7621221,-0.6570077,-21.75974,47.34373,-124.6457,-21.28013,46.71316,-125.5718,S_LF
-0.3427734,-0.5915527,0.8649902,-0.05503809,-0.01197708,0.4578092,-32.72057,18.19377,-38.53266,-32.44753,18.11281,-38.3228,-0.3400879,-0.1726074,-0.2678223,-0.197794,0.8079236,-0.6570077,-21.76224,47.34606,-124.664,-21.73906,46.86618,-125.078,S_LF
-0.3435059,-0.5957031,0.861084,-0.4367175,0.09489316,0.5188779,-32.72705,18.19455,-38.52658,-32.72335,18.16301,-38.61027,-0.3398438,-0.1665039,-0.2709961,-0.197794,0.8537251,-0.5348701,-21.7491,47.34962,-124.6907,-20.96002,46.89638,-125.6059,S_LF
-0.3432617,-0.5947266,0.8566895,-0.4061831,0.03382444,0.6868168,-32.73444,18.19553,-38.52023,-32.79815,18.21871,-38.71391,-0.34375,-0.1706543,-0.2705078,-0.5031376,0.578916,-0.6570077,-21.74727,47.35184,-124.7095,-21.31255,47.06358,-125.1782,S_LF
-0.3393555,-0.588623,0.8605957,-0.3298473,-0.02724427,0.4730763,-32.73364,18.19182,-38.50916,-32.46815,18.02885,-38.29109,-0.3452148,-0.1694336,-0.2680664,-0.5947404,0.5025801,-0.687542,-21.74485,47.36076,-124.723,-21.18907,47.42859,-124.8798,S_LF
-0.3427734,-0.5874023,0.854248,-0.299313,-0.04251146,0.442542,-32.73426,18.19328,-38.50296,-32.54466,18.29563,-38.52463,-0.3452148,-0.1774902,-0.2653809,-0.6558094,0.2125039,-0.3516641,-21.76249,47.36119,-124.7206,-22.17677,47.23647,-124.3593,S_LF
-0.3417969,-0.5883789,0.854248,-0.4367175,0.262832,0.442542,-32.73753,18.19777,-38.49762,-32.5981,18.23787,-38.5391,-0.3432617,-0.1740723,-0.2663574,-0.7626796,0.5178473,-0.2447939,-21.77511,47.36498,-124.7235,-21.83316,47.17034,-124.6855,S_LF
-0.3435059,-0.5927734,0.8630371,-0.5435878,0.01855725,0.3356718,-32.74165,18.19737,-38.4916,-32.54419,18.1639,-38.44384,-0.3430176,-0.1738281,-0.2712402,-0.2130611,0.578916,-0.428,-21.77609,47.36155,-124.7388,-21.67792,46.79594,-125.1972,S_LF
-0.3435059,-0.6015625,0.8635254,-0.558855,-0.2867863,0.3356718,-32.75278,18.19102,-38.49191,-32.91502,18.07675,-38.73695,-0.3388672,-0.1757813,-0.269043,0.04648089,0.8537251,-0.4432673,-21.78208,47.35721,-124.754,-22.10985,46.51744,-125.175,S_LF
-0.342041,-0.5925293,0.8554688,-0.222977,-0.07304579,0.183,-32.75594,18.19003,-38.4924,-32.7465,18.19494,-38.65127,-0.3442383,-0.173584,-0.2714844,0.1380839,0.8537251,-0.0310533,-21.77656,47.3596,-124.7624,-21.60056,46.89094,-125.1528,S_LF
-0.3503418,-0.5910645,0.8586426,-0.1008396,-0.1341145,0.1219313,-32.75244,18.19592,-38.49422,-32.51176,18.57685,-38.66708,-0.3427734,-0.1704102,-0.2749023,-0.04512215,0.4415114,-0.260061,-21.76565,47.35215,-124.7847,-21.19789,46.66259,-125.6837,S_LF
-0.3474121,-0.5927734,0.8659668,0.03656495,-0.3020534,0.09139694,-32.74541,18.19391,-38.49158,-32.42792,18.31723,-38.42927,-0.342041,-0.1584473,-0.2646484,-0.1519923,-0.1386412,-0.2905953,-21.735,47.36218,-124.7947,-20.12167,47.95566,-125.0713,S_LF
-0.3408203,-0.5922852,0.8623047,0.03656495,-0.2715191,0.2440687,-32.74136,18.18695,-38.48608,-32.56957,18.0453,-38.39553,-0.3413086,-0.1726074,-0.2805176,-0.289397,-0.4897862,-0.168458,-21.73108,47.32862,-124.8263,-21.34044,46.01995,-126.2575,S_LF
-0.3444824,-0.5869141,0.8706055,0.08236647,-0.04251146,0.3509389,-32.72704,18.18591,-38.47182,-32.08182,18.16415,-38.01429,-0.3457031,-0.1853027,-0.2702637,-0.1672597,-0.3981832,0.1368854,-21.75679,47.30684,-124.8191,-22.89365,46.53244,-124.5683,S_LF
-0.3337402,-0.590332,0.8666992,-0.1008396,0.09489316,-0.03074045,-32.7228,18.17667,-38.46367,-32.44125,17.65409,-38.04106,-0.3513184,-0.171875,-0.28125,-0.06038928,-0.3065802,-0.06158781,-21.74054,47.29302,-124.838,-20.90285,46.82602,-125.7203,S_LF
-0.338623,-0.6010742,0.854248,-0.03977096,0.262832,0.1371985,-32.73268,18.17598,-38.471,-33.18921,17.96212,-38.92454,-0.3442383,-0.1706543,-0.2700195,-0.04512215,0.09036642,0.1521528,-21.73257,47.29131,-124.8409,-21.3089,47.14104,-125.0987,S_LF
-0.3381348,-0.6000977,0.8630371,0.128168,0.4765725,-0.1223435,-32.73454,18.1761,-38.47525,-32.91963,17.83173,-38.59398,-0.3422852,-0.1696777,-0.2727051,0.2907557,0.1819695,0.2895572,-21.71748,47.28459,-124.8503,-21.19193,46.82171,-125.5202,S_LF
