xa_S1,ya_S1,za_S1,xgb_S1,ybg_S1,zbg_S1,tilt_x_S1,tilt_y_S1,tilt_z_S1,tilt_accx_S1,tilt_accy_S1,tilt_accz_S1,xa_S2,ya_S2,za_S2,xgb_S2,ybg_S2,zbg_S2,tilt_x_S2,tilt_y_S2,tilt_z_S2,tilt_accx_S2,tilt_accy_S2,tilt_accz_S2,Posture
-0.357666,-0.9450684,0.2910156,1.441145,-2.134115,0.5188779,-64.80822,18.97897,-73.98185,-63.9921,19.88482,-73.9338,-0.1013184,-0.2451172,-0.4016113,0.7945726,0.2735725,-0.2295268,-30.14599,12.45181,-146.8186,-30.61672,12.1525,-146.5585,LR
-0.3308105,-0.9414063,0.2944336,1.670153,-2.821137,1.114298,-64.78363,18.92873,-73.95703,-64.80649,18.54042,-73.56017,-0.107666,-0.2380371,-0.3974609,0.3060229,0.3041069,-0.7028093,-30.13948,12.4686,-146.8255,-30.03054,13.08302,-146.6828,LR
-0.3251953,-0.9355469,0.3029785,1.319008,-2.668466,1.404374,-64.76163,18.87951,-73.91845,-64.58833,18.29854,-72.9912,-0.1032715,-0.232666,-0.395752,0.2602212,0.3651755,-0.7944121,-30.12555,12.47816,-146.8456,-29.63379,12.67787,-147.2501,LR
-0.3273926,-0.9326172,0.2956543,1.135802,-1.88984,1.282237,-64.74341,18.84418,-73.88818,-64.68565,18.50201,-73.34702,-0.1103516,-0.2358398,-0.4008789,0.580832,0.8079236,-0.9928856,-30.10574,12.50742,-146.8632,-29.56229,13.34724,-146.9953,LR
-0.3242188,-0.9328613,0.2922363,0.479313,-1.29442,0.9158244,-64.74,18.81524,-73.86727,-64.92511,18.3486,-73.51617,-0.104248,-0.2351074,-0.3964844,0.0,0.0,-0.7486105,-30.1003,12.51214,-146.8768,-29.83376,12.74357,-147.0302,LR
-0.3347168,-0.947998,0.2966309,0.2655725,-0.5768626,0.3662061,-64.73642,18.80346,-73.85612,-64.74323,18.62211,-73.56123,-0.1035156,-0.2409668,-0.3950195,1.176252,1.372809,-0.8096795,-30.09189,12.53428,-146.8796,-30.54433,12.6102,-146.4191,LR
-0.3374023,-0.9313965,0.2871094,-0.1466411,-0.2715191,-0.06127481,-64.73508,18.8053,-73.85664,-64.56153,19.09483,-73.83702,-0.105957,-0.2355957,-0.3935547,1.328924,1.052198,-0.7638779,-30.07242,12.55818,-146.8869,-30.03013,13.0073,-146.7195,LR
-0.3381348,-0.9313965,0.2902832,-0.558855,0.262832,-0.1376107,-64.73665,18.81512,-73.85483,-64.43029,19.11618,-73.67172,-0.09863281,-0.2373047,-0.390625,1.359458,1.113267,-0.7028093,-30.06096,12.56693,-146.8927,-30.49866,12.17766,-146.6597,LR
-0.3339844,-0.939209,0.2875977,-0.833664,0.2780993,-0.3208168,-64.75138,18.81849,-73.86058,-64.86052,18.77895,-73.90641,-0.1000977,-0.2456055,-0.3991699,0.9014427,0.6247175,0.0,-30.06308,12.56589,-146.8828,-30.82926,12.0558,-146.3988,LR
-0.3349609,-0.939209,0.2939453,-0.8489313,0.1406947,-0.3666183,-64.76115,18.82012,-73.86027,-64.61596,18.7966,-73.57528,-0.1000977,-0.2460938,-0.3945313,0.6419008,0.6399847,-1.053954,-30.07616,12.56633,-146.8805,-31.15743,12.14854,-146.0442,LR
-0.3300781,-0.9445801,0.2993164,-0.8183969,0.1559618,-0.1070763,-64.77207,18.81433,-73.85145,-64.74566,18.42394,-73.34599,-0.1081543,-0.244873,-0.3879395,0.3060229,0.227771,-1.298229,-30.09615,12.58366,-146.8698,-31.30075,13.26549,-145.3927,LR
-0.3295898,-0.9404297,0.2912598,-0.6962595,-0.1493817,-0.1376107,-64.78555,18.80604,-73.8506,-64.93431,18.50946,-73.70747,-0.09960938,-0.2421875,-0.3933105,0.1533511,0.4109771,-1.389832,-30.1088,12.58102,-146.8784,-30.83386,12.16965,-146.3438,LR
-0.328125,-0.9414063,0.2885742,-0.833664,-0.3020534,-0.01547329,-64.8033,18.79438,-73.85093,-65.10091,18.43028,-73.85656,-0.1032715,-0.2421875,-0.3947754,0.1533511,0.578916,-1.069221,-30.11816,12.58931,-146.8825,-30.68956,12.57013,-146.2996,LR
-0.3317871,-0.9399414,0.2893066,-0.9558016,-0.04251146,-0.168145,-64.81937,18.79072,-73.85269,-64.90475,18.64275,-73.81511,-0.09790039,-0.2453613,-0.3928223,0.01594663,0.5636489,-0.8402138,-30.13994,12.58451,-146.8788,-31.21892,11.93536,-146.0793,LR
-0.3300781,-0.9443359,0.2910156,-0.8183969,0.3697023,-0.09180916,-64.83532,18.78976,-73.85258,-65.01513,18.47102,-73.77972,-0.09643555,-0.2397461,-0.4018555,0.2449541,0.2735725,-0.8554807,-30.13593,12.56974,-146.8989,-30.11919,11.64483,-147.2568,LR
-0.328125,-0.949707,0.2861328,-0.7725954,0.3086336,-0.1070763,-64.85742,18.7846,-73.85921,-65.37258,18.30488,-74.10475,-0.1010742,-0.2404785,-0.388916,0.1228168,0.5941832,-0.6112061,-30.14937,12.57637,-146.8929,-30.89842,12.46445,-146.1492,LR
-0.3300781,-0.9421387,0.2893066,-0.6657251,0.6597786,-0.07654199,-64.87047,18.78894,-73.85991,-65.02036,18.51648,-73.83825,-0.09545898,-0.2456055,-0.3945313,-0.09092379,0.227771,-0.3821983,-30.17117,12.56012,-146.8856,-31.17669,11.60745,-146.2614,LR
-0.3334961,-0.9431152,0.2902832,-0.6657251,0.4613054,-0.09180916,-64.87984,18.79296,-73.86034,-64.88264,18.67344,-73.81813,-0.1013184,-0.2397461,-0.3898926,0.04648089,0.5331145,-0.5501375,-30.18223,12.56639,-146.8814,-30.75844,12.4818,-146.2746,LR
-0.3330078,-0.9382324,0.2895508,-0.7267939,0.5834427,-0.09180916,-64.88914,18.80036,-73.86015,-64.8106,18.73425,-73.78361,-0.09863281,-0.2429199,-0.3874512,0.07701516,0.3651755,-0.3974657,-30.2025,12.56672,-146.8711,-31.28247,12.17125,-145.9146,LR
-0.3283691,-0.9411621,0.2929688,-0.833664,0.7361145,-0.6566947,-64.90896,18.80944,-73.87019,-64.94034,18.42451,-73.62146,-0.09619141,-0.2407227,-0.4008789,0.3670917,0.578916,-0.0005190372,-30.19867,12.55638,-146.8759,-30.28119,11.62429,-147.1111,LR
-0.3283691,-0.9421387,0.2932129,-0.6046565,0.858252,-0.7330306,-64.91877,18.81401,-73.87601,-64.95502,18.407,-73.62289,-0.09716797,-0.2431641,-0.4008789,0.5502977,0.6094504,0.0147481,-30.197,12.54838,-146.8751,-30.51966,11.70833,-146.8469,LR
-0.3398438,-0.9379883,0.2880859,-0.5893893,0.0,-0.9620381,-64.92093,18.81979,-73.8905,-64.59354,19.10322,-73.89323,-0.09619141,-0.237793,-0.4013672,0.9167099,0.5331145,-0.07685494,-30.17855,12.53826,-146.8871,-29.94808,11.6505,-147.4176,LR
-0.3278809,-0.9470215,0.2912598,-0.574122,0.8124504,-0.8093664,-64.93398,18.82155,-73.90048,-65.15125,18.31071,-73.79468,-0.1000977,-0.2416992,-0.4052734,1.313656,0.5636489,-0.4127328,-30.15707,12.53531,-146.8985,-30.07028,11.9765,-147.1575,LR
-0.3300781,-0.9418945,0.2937012,-0.2687786,0.9193206,-0.6566947,-64.93663,18.82859,-73.90417,-64.86946,18.49784,-73.60226,-0.09838867,-0.2416992,-0.404541,1.619,0.7315878,-0.4127328,-30.13287,12.53122,-146.9101,-30.13696,11.79306,-147.1751,LR
-0.3137207,-0.9423828,0.2758789,-0.2535114,0.9803894,-0.5192901,-64.96346,18.8208,-73.92326,-66.09181,17.7183,-74.47687,-0.1005859,-0.2431641,-0.3942871,1.802206,0.0,-0.5501375,-30.12272,12.52561,-146.9051,-30.86167,12.25079,-146.2809,LR
-0.3356934,-0.9399414,0.2841797,-0.1924427,0.9040535,-0.5498245,-64.9653,18.83426,-73.93448,-64.92367,18.87351,-74.10707,-0.09057617,-0.2385254,-0.3984375,1.573198,0.9911298,-0.4738016,-30.10263,12.5104,-146.9213,-30.27459,11.03688,-147.3661,LR
-0.333252,-0.9411621,0.2763672,-0.07030535,0.9803894,-0.7330306,-64.97298,18.84728,-73.95712,-65.29737,18.76473,-74.52768,-0.09472656,-0.239502,-0.4047852,1.420527,0.8537251,-0.1379237,-30.07864,12.50049,-146.9355,-29.94675,11.38724,-147.5324,LR
-0.3347168,-0.9423828,0.284668,-0.05503809,0.9651221,-0.6566947,-64.97437,18.86009,-73.96985,-65.00208,18.77842,-74.11095,-0.09399414,-0.2434082,-0.3994141,1.160985,0.4262443,0.091084,-30.07353,12.484,-146.9324,-30.67678,11.36251,-146.8445,LR
-0.3339844,-0.9416504,0.2758789,-0.1466411,0.8429847,-0.7177633,-64.98295,18.87122,-73.99228,-65.29595,18.79718,-74.56408,-0.09350586,-0.2436523,-0.3996582,0.9167099,0.6399847,0.1216183,-30.07247,12.46967,-146.929,-30.69426,11.29711,-146.8553,LR
