sensor-1-1,sensor-1-2,sensor-1-3,sensor-1-4,sensor-1-5,sensor-1-6,sensor-1-7,sensor-1-8,sensor-1-9,sensor-1-10,sensor-1-11,sensor-1-12,sensor-2-1,sensor-2-2,sensor-2-3,sensor-2-4,sensor-2-5,sensor-2-6,sensor-2-7,sensor-2-8,sensor-2-9,sensor-2-10,sensor-2-11,sensor-2-12,sensor-3-1,sensor-3-2,sensor-3-3,sensor-3-4,sensor-3-5,sensor-3-6,sensor-3-7,sensor-3-8,sensor-3-9,sensor-3-10,sensor-3-11,sensor-3-12,posture
-0.595459,-0.7602539,0.09326172,-0.0669322,-0.04442692,0.08971,-50.99222,37.45405,-0.1499402,-51.59313,37.86184,0.018,-0.6564941,0.3088379,0.8166504,-0.7533126,0.5199699,0.0782899,16.37401,36.0998,0.7490865,16.4227,36.94002,0.018,0.4399414,0.2648926,0.1142578,0.226629,-0.8974351,0.1340754,29.42654,-56.08564,-0.7848459,30.23258,-56.74585,0.018,NEUTRAL
-0.5952148,-0.7634277,0.09082031,-0.2806728,-0.09022844,0.1355115,-51.01235,37.45823,-0.1473655,-51.73769,37.7471,0.019,-0.6555176,0.3078613,0.8139648,-0.8296485,0.184092,0.3530991,16.35936,36.12102,0.7557954,16.41365,36.98928,0.019,0.4372559,0.2614746,0.1262207,0.1044915,-0.7447634,0.2867472,29.43753,-56.10609,-0.7793977,29.87873,-56.41512,0.019,NEUTRAL
-0.5947266,-0.7634277,0.08203125,-0.7081537,0.1998479,-0.001893163,-51.04652,37.46936,-0.1474147,-51.8186,37.76003,0.026,-0.65625,0.3117676,0.8208008,0.3611912,-0.167053,0.1546258,16.37185,36.12984,0.7598156,16.52399,36.7753,0.026,0.4355469,0.2578125,0.1103516,0.4251022,0.07966411,0.0119381,29.45655,-56.12641,-0.7790874,29.84711,-57.22362,0.026,NEUTRAL
-0.5998535,-0.7644043,0.08691406,-0.5554819,0.1998479,-0.0171603,-51.0677,37.48257,-0.1477408,-51.58812,37.94388,0.019,-0.6467285,0.3134766,0.8156738,0.9871453,-0.1059843,0.169893,16.39798,36.13538,0.7630436,16.75936,36.50521,0.019,0.4367676,0.2653809,0.1242676,0.01288843,-0.4088855,0.3172815,29.47371,-56.13433,-0.773059,30.30238,-56.14166,0.019,NEUTRAL
-0.595459,-0.7651367,0.08618164,-0.479146,0.3067181,0.1202443,-51.0912,37.49266,-0.1455764,-51.82035,37.71651,0.018,-0.6462402,0.3122559,0.8164063,0.2848553,-0.426595,0.1851601,16.40892,36.13468,0.7663764,16.69364,36.47678,0.018,0.4414063,0.2629395,0.1286621,-0.1397834,-0.5920916,0.1493425,29.47706,-56.15107,-0.7703709,29.76467,-56.44858,0.018,NEUTRAL
-0.6000977,-0.7680664,0.09472656,-0.5096803,0.4288555,-0.03242743,-51.1115,37.5062,-0.1461601,-51.65657,37.79123,0.018,-0.6489258,0.3122559,0.8225098,-0.02048826,-0.5181981,0.03248837,16.41231,36.13109,0.7669612,16.59647,36.41225,0.018,0.4523926,0.2597656,0.1184082,-0.2008519,0.5987482,-0.3239398,29.46501,-56.17241,-0.7762018,29.05181,-57.74626,0.018,NEUTRAL
-0.6000977,-0.7666016,0.08422852,-0.5554819,0.4441227,-0.04769468,-51.1331,37.52208,-0.1470663,-51.67448,37.88719,0.019,-0.6472168,0.3029785,0.815918,0.1627178,-0.2739233,0.09355709,16.4115,36.13608,0.7687388,16.22081,36.63537,0.019,0.4401855,0.2636719,0.1269531,0.1044915,1.026229,-0.690352,29.4761,-56.15752,-0.7893185,29.92228,-56.38335,0.019,NEUTRAL
-0.598877,-0.7722168,0.08666992,-0.6012833,0.4746571,0.2118473,-51.1594,37.53244,-0.143253,-51.91743,37.62111,0.018,-0.6481934,0.3085938,0.8154297,0.697069,-0.06018281,0.2156945,16.42561,36.14488,0.7726213,16.50185,36.62906,0.018,0.4394531,0.2587891,0.1162109,0.2571633,0.5987482,-0.171268,29.48419,-56.16693,-0.7924013,29.65367,-57.15617,0.018,NEUTRAL
-0.595459,-0.765625,0.08618164,-0.3112071,0.291451,0.05917561,-51.17846,37.54091,-0.1421878,-51.83811,37.69905,0.018,-0.6462402,0.314209,0.8195801,0.6665347,-0.1059843,-0.2728552,16.44394,36.14736,0.76771,16.75437,36.36234,0.018,0.4367676,0.2597656,0.1230469,-0.0481801,-0.08827477,-0.4155428,29.48945,-56.17818,-0.799881,29.7895,-56.65127,0.018,NEUTRAL
-0.5976563,-0.767334,0.09277344,0.3147471,0.3525196,0.08971,-51.18412,37.55091,-0.1404834,-51.75476,37.71272,0.019,-0.6506348,0.3105469,0.8120117,0.1627178,-0.1059843,-0.1659849,16.45045,36.15866,0.7645562,16.61787,36.81114,0.019,0.4499512,0.2587891,0.1169434,-0.2619207,-0.3172824,0.1188083,29.47684,-56.21536,-0.7976237,29.10274,-57.74208,0.019,NEUTRAL
-0.5976563,-0.7658691,0.09301758,0.02467084,0.2151151,-0.4446412,-51.194,37.55897,-0.1484869,-51.69979,37.7639,0.018,-0.6516113,0.3100586,0.8139648,0.1016492,-0.1517859,-0.05911469,16.45445,36.16881,0.7634922,16.56107,36.80022,0.018,0.4353027,0.262207,0.1210938,-0.2466536,-0.6989618,0.1188083,29.4855,-56.23211,-0.7954851,30.12744,-56.43615,0.018,NEUTRAL
