sensor-1-1,sensor-1-2,sensor-1-3,sensor-1-4,sensor-1-5,sensor-1-6,sensor-1-7,sensor-1-8,sensor-1-9,sensor-1-10,sensor-1-11,sensor-1-12,sensor-2-1,sensor-2-2,sensor-2-3,sensor-2-4,sensor-2-5,sensor-2-6,sensor-2-7,sensor-2-8,sensor-2-9,sensor-2-10,sensor-2-11,sensor-2-12,sensor-3-1,sensor-3-2,sensor-3-3,sensor-3-4,sensor-3-5,sensor-3-6,sensor-3-7,sensor-3-8,sensor-3-9,sensor-3-10,sensor-3-11,sensor-3-12,posture
-0.4594727,-0.8449707,-0.2368164,0.975115,-0.7403358,0.03022933,-56.85816,26.20504,-1.251846,-58.54377,27.63647,0.027,-0.204834,0.5895996,0.9030762,-0.02283978,-0.2665329,0.1889466,32.27612,10.55729,0.4698503,32.48517,10.75376,0.027,0.4006348,0.2487793,0.2529297,0.1062286,0.01386309,0.1118786,27.2537,-47.61153,-0.1017412,27.70297,-48.47416,0.027,NEUTRAL
-0.456543,-0.8469238,-0.2382813,2.104886,-1.25942,-0.4125187,-56.85782,26.20723,-1.259271,-58.69767,27.42541,0.018,-0.2080078,0.5957031,0.9091797,-0.0686413,0.1456809,0.1126107,32.28072,10.56539,0.4718772,32.56664,10.83357,0.018,0.3974609,0.2487793,0.2592773,0.1062286,-0.1998774,-0.08659458,27.2638,-47.62052,-0.1032999,27.66532,-47.88465,0.018,NEUTRAL
-0.4562988,-0.8469238,-0.2307129,2.333894,-1.137282,-0.1987783,-56.85708,26.21236,-1.262849,-58.87956,27.46673,0.018,-0.2067871,0.5922852,0.9077148,-0.4503206,0.4357572,0.219481,32.27645,10.5778,0.4758279,32.46458,10.80154,0.018,0.3977051,0.2487793,0.255127,-0.03117585,-0.4746865,0.2492833,27.27332,-47.63928,-0.09881279,27.76742,-48.13965,0.018,NEUTRAL
-0.4523926,-0.8464355,-0.2402344,2.089619,-1.091481,-0.1835111,-56.85743,26.212,-1.266336,-58.81968,27.21043,0.019,-0.2097168,0.5952148,0.9003906,-0.5113894,0.2067496,0.2652825,32.27689,10.59,0.4808683,32.77463,10.99558,0.019,0.3974609,0.25,0.2634277,0.04516006,-0.3372819,0.1271458,27.28205,-47.6444,-0.09639702,27.66771,-47.58109,0.019,NEUTRAL
-0.4484863,-0.8422852,-0.2331543,1.585802,-0.9846107,-0.1071752,-56.87292,26.21369,-1.268265,-59.03125,27.16536,0.018,-0.2067871,0.5881348,0.909668,-0.3281833,-0.1749299,0.2652825,32.27016,10.59127,0.4856433,32.22953,10.8076,0.018,0.4018555,0.2416992,0.2507324,-0.138046,-0.001404107,0.03554273,27.27466,-47.67327,-0.09575726,27.03427,-49.08679,0.018,NEUTRAL
-0.4538574,-0.8452148,-0.2331543,1.448397,-0.7098014,-0.1377096,-56.88754,26.22425,-1.270744,-58.88129,27.36786,0.018,-0.2128906,0.5837402,0.9108887,-0.2060459,-0.2665329,0.1736794,32.26043,10.59739,0.4887696,31.9654,11.13231,0.018,0.401123,0.2453613,0.2580566,0.02989268,-0.001404107,-0.02552581,27.27415,-47.68791,-0.09621672,27.22243,-48.40401,0.018,NEUTRAL
-0.4526367,-0.8464355,-0.2331543,1.280458,-0.8319388,0.04549646,-56.90538,26.22975,-1.26988,-58.97179,27.27359,0.019,-0.2062988,0.5952148,0.9057617,0.08403051,-0.1291283,0.2958169,32.26977,10.59857,0.4943901,32.64906,10.77691,0.019,0.3986816,0.246582,0.2661133,-0.04644299,0.09019894,-0.1934648,27.27225,-47.68644,-0.09989255,27.22237,-47.69835,0.019,NEUTRAL
-0.4521484,-0.8515625,-0.2294922,0.9903822,-0.9693436,-0.2140455,-56.93438,26.23092,-1.273733,-59.2287,27.14297,0.018,-0.2092285,0.5893555,0.8986816,0.02296174,-0.1138611,0.1889466,32.27612,10.60493,0.4977911,32.5671,11.0169,0.018,0.3969727,0.2485352,0.2587891,0.1062286,-0.03193843,-0.1323962,27.28219,-47.69109,-0.1022757,27.67577,-47.89099,0.018,NEUTRAL
-0.4506836,-0.8557129,-0.2368164,1.570535,-1.167817,-0.1071752,-56.95144,26.2228,-1.275769,-59.24907,26.91219,0.019,-0.2075195,0.5966797,0.9125977,-0.1907786,0.08461213,0.08207637,32.27744,10.60993,0.4993506,32.51955,10.77588,0.019,0.401123,0.246582,0.2602539,-0.03117585,0.1970692,0.02027559,27.28156,-47.6978,-0.1018904,27.27994,-48.21015,0.019,NEUTRAL
-0.4587402,-0.8518066,-0.2275391,1.707939,-1.167817,-0.04610658,-56.96203,26.22751,-1.276599,-58.98746,27.48824,0.018,-0.2128906,0.6040039,0.9077148,-0.05337405,0.03881061,0.3263512,32.28967,10.61938,0.5052249,32.93648,11.04843,0.018,0.4018555,0.2463379,0.2548828,-0.07697749,0.2581379,-0.02552581,27.28195,-47.711,-0.1023499,27.36866,-48.58518,0.018,NEUTRAL
-0.4465332,-0.847168,-0.2348633,1.494199,-1.15255,-0.3514501,-56.97945,26.22005,-1.283276,-59.22402,26.92744,0.019,-0.2163086,0.5925293,0.9023438,-0.08390844,-0.1138611,0.2347481,32.29353,10.63149,0.5096851,32.56086,11.33081,0.019,0.4006348,0.2424316,0.2502441,-0.138046,0.05966461,0.08134437,27.2771,-47.73542,-0.1008044,27.16815,-48.98764,0.019,NEUTRAL
-0.4519043,-0.8527832,-0.2368164,0.7155731,-0.6945343,-0.1529768,-57.00942,26.22437,-1.28603,-59.10913,27.04863,0.018,-0.2128906,0.5939941,0.8947754,-0.0686413,-0.190197,0.2347481,32.30355,10.63975,0.5139106,32.85515,11.21207,0.018,0.3950195,0.2421875,0.260498,0.02989268,0.181802,0.02027559,27.27418,-47.73748,-0.1004394,27.10469,-47.99912,0.018,NEUTRAL
-0.4509277,-0.8498535,-0.2475586,0.8987791,-0.6181984,-0.3819843,-57.02965,26.22888,-1.292906,-58.81362,26.99528,0.018,-0.2109375,0.5957031,0.9069824,0.2367022,-0.4344718,0.1126107,32.31382,10.6393,0.5159376,32.60801,11.00062,0.018,0.3989258,0.2453613,0.2495117,-0.2754507,0.04439741,0.06607723,27.27464,-47.75681,-0.09925002,27.54015,-48.74254,0.018,NEUTRAL
